Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
120001;Acrelândia (AC);AC;1609,7;4,9;102,7801679;136,54;0,64;54,69;0,68;7935
120005;Assis Brasil (AC);AC;2884,2;1,2;219,9617107;115,16;0,6;54,82;0,67;3490
120010;Brasiléia (AC);AC;4356,4;3,9;154,0471387;132,38;0,61;56,18;0,669;17013
120013;Bujari (AC);AC;3397,9;1,7;22,30817807;118,82;0,64;56,15;0,639;5826
120017;Capixaba (AC);AC;1724;3;68,04579367;108,16;0,59;50,93;0,607;5206
120020;Cruzeiro do Sul (AC);AC;7881,5;8,5;593,8111801;140,2;0,61;50,81;0,668;67441
120025;Epitaciolândia (AC);AC;1659,3;6,6;155,1250534;134,36;0,57;43,25;0,684;11028
120030;Feijó (AC);AC;22721,6;1,2;344,1178661;64,55;0,63;62,59;0,541;26722
120032;Jordão (AC);AC;6695,5;0,7;450,2516054;34,53;0,69;74,22;0,475;4454
120034;Manoel Urbano (AC);AC;9477,2;0,7;202,9804665;91,65;0,66;63,21;0,601;6374
120035;Marechal Thaumaturgo (AC);AC;7700,6;1,1;558,0187763;51,68;0,71;72,26;0,533;8295
120033;Mâncio Lima (AC);AC;4692,2;2,4;617,0195494;95,01;0,65;61,72;0,642;11095
120038;Plácido de Castro (AC);AC;2055,6;7,4;79,56817019;114,44;0,55;46,77;0,683;15172
120080;Porto Acre (AC);AC;2923;4;52,62480056;110,63;0,57;53,05;0,663;11418
120039;Porto Walter (AC);AC;6093,4;0,9;573,5413536;69,52;0,56;57,15;0,54;5485
120040;Rio Branco (AC);AC;9962,4;25,4;0;264,43;0,62;45,24;0,754;253059
120042;Rodrigues Alves (AC);AC;3318,5;2,4;586,1471872;65,19;0,6;64,41;0,55;8093
120043;Santa Rosa do Purus (AC);AC;6049,7;0,4;299,9753801;45,12;0,68;74,9;0,525;2246
120050;Sena Madureira (AC);AC;25296,7;1,2;137,1802118;107,64;0,62;55,09;0,652;29420
120045;Senador Guiomard (AC);AC;1806,4;10,9;21,16677283;152,53;0,57;47,67;0,701;19761
120060;Tarauacá (AC);AC;16120,5;1,6;381,8822741;91,97;0,67;62,72;0,604;26037
120070;Xapuri (AC);AC;4723,6;2,5;106,8441126;122,96;0,56;47,56;0,669;11956
