Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
130002;Alvarães (AM);AM;5937,9;2;530,3985542;91,95;0,58;57,35;0,647;12150
130006;Amaturá (AM);AM;4780,1;1,9;907,2023568;68,12;0,69;67,82;0,631;7308
130008;Anamã (AM);AM;2464,8;2,7;161,9325687;96,83;0,67;63,98;0,637;6563
130010;Anori (AM);AM;6274,5;1,8;194,4424642;91,12;0,59;54,39;0,634;11320
130014;Apuí (AM);AM;54251;0,3;455,2778907;130,08;0,76;71,01;0,676;13864
130020;Atalaia do Norte (AM);AM;76687,1;0,1;1136,123943;74,95;0,77;67,71;0,559;10049
130030;Autazes (AM);AM;7632,1;3,2;112,5004681;87,62;0,66;62,5;0,661;24345
130040;Barcelos (AM);AM;123120,9;0,2;399,3635831;68,85;0,66;72,7;0,593;24197
130050;Barreirinha (AM);AM;5749,8;3,9;329,717424;61,81;0,6;66,08;0,645;22579
130060;Benjamin Constant (AM);AM;8742,6;2,6;1118,56035;76,28;0,67;63,05;0,64;23219
130063;Beruri (AM);AM;17326,1;0,6;173,7142921;67,95;0,64;63,83;0,575;11038
130068;Boa Vista do Ramos (AM);AM;2598,1;5,3;270,595149;60,54;0,66;68,39;0,642;10482
130070;Boca do Acre (AM);AM;22503,6;1,2;1028,434525;92,58;0,62;60,43;0,611;26959
130080;Borba (AM);AM;44452,6;0,6;150,6795657;60,61;0,67;68,38;0,599;28619
130083;Caapiranga (AM);AM;9498,6;0,9;133,7379297;78,02;0,55;57,85;0,624;8803
130090;Canutama (AM);AM;29946,5;0,5;614,9965937;63,91;0,73;72,59;0,546;10737
130100;Carauari (AM);AM;25881,2;0,9;786,9118229;81,4;0,78;70,09;0,575;23421
130110;Careiro (AM);AM;6124,3;5,7;83,26335396;72,41;0,66;66,5;0,63;27554
130115;Careiro da Várzea (AM);AM;2643;6,2;25,73610584;84,49;0,56;53,97;0,658;17267
130120;Coari (AM);AM;57529,7;1,2;362,4173738;81,17;0,58;56,06;0,627;67096
130130;Codajás (AM);AM;18988,4;0,9;239,7224014;70,9;0,53;59,12;0,593;17507
130140;Eirunepé (AM);AM;15946;1,5;1159,735801;69,86;0,66;66,97;0,562;26074
130150;Envira (AM);AM;13381,1;1,6;1206,174286;43,72;0,7;75,41;0,513;19060
130160;Fonte Boa (AM);AM;12165;2,6;676,5144718;44,09;0,64;70,55;0,532;31509
130165;Guajará (AM);AM;8983,7;1,5;1474,31459;36,96;0,67;75,54;0,504;13220
130170;Humaitá (AM);AM;33213,3;1;591,0290684;134,36;0,69;63,21;0,678;32796
130180;Ipixuna (AM);AM;13630,7;1,1;1363,921413;39,57;0,69;73,97;0,487;14759
130185;Iranduba (AM);AM;2213,6;13,9;27,06622593;113,85;0,56;48,79;0,694;32303
130190;Itacoatiara (AM);AM;8949,2;8;175,4790286;117,29;0,61;51,24;0,711;72105
130195;Itamarati (AM);AM;25385,2;0,3;982,9906536;48,23;0,69;73,52;0,505;8406
130200;Itapiranga (AM);AM;4249,6;1,7;225,7173431;78;0,58;59,18;0,694;7309
130210;Japurá (AM);AM;56042,9;0,2;743,4575181;54,66;0,58;62,51;0,577;10285
130220;Juruá (AM);AM;19485,6;0,6;671,8204128;74,2;0,73;69,55;0,546;6584
130230;Jutaí (AM);AM;69857,4;0,3;749,2322046;60,79;0,82;69,64;0,533;22500
130240;Lábrea (AM);AM;68508,6;0,4;701,6079869;66,46;0,69;68,06;0,598;28956
130250;Manacapuru (AM);AM;7367,9;9,9;69,6884609;101,23;0,59;55,02;0,663;73695
130255;Manaquiri (AM);AM;3985,1;3,2;60,25332796;110,05;0,68;66,19;0,663;12711
130260;Manaus (AM);AM;11458,5;122,5;0;262,4;0,64;49,67;0,774;1405835
130270;Manicoré (AM);AM;48491,2;0,8;332,3093161;70,26;0,61;62,38;0,621;38038
130280;Maraã (AM);AM;16986,2;1;632,1412999;56,7;0,58;59,32;0,56;17079
130290;Maués (AM);AM;40163,8;1;257,7440103;96,11;0,67;58,2;0,689;40036
130300;Nhamundá (AM);AM;14173,5;1,1;381,4640716;69,02;0,55;59,25;0,656;15355
130310;Nova Olinda do Norte (AM);AM;5633;4,2;135,2436811;70,89;0,69;66,67;0,629;23725
130320;Novo Airão (AM);AM;37940,2;0,3;115,1479982;93,27;0,58;54,73;0,656;9651
130330;Novo Aripuanã (AM);AM;41571,3;0,4;227,7749942;70,15;0,65;63,27;0,624;17119
130340;Parintins (AM);AM;6004,9;15;368,7962538;91,73;0,62;57,26;0,696;90150
130350;Pauini (AM);AM;43446,6;0,4;923,9057516;73,4;0,72;74,47;0,532;17092
130353;Presidente Figueiredo (AM);AM;25534,5;0,7;118,67616;188,23;0,64;50,22;0,741;17394
130356;Rio Preto da Eva (AM);AM;5839;3,6;57,49996776;107,9;0,59;50,88;0,677;17582
130360;Santa Isabel do Rio Negro (AM);AM;63127,2;0,2;629,9368128;56,12;0,69;73,95;0,548;10561
130370;Santo Antônio do Içá (AM);AM;12363;2,3;878,2240703;46,49;0,69;73,96;0,525;28213
130380;São Gabriel da Cachoeira (AM);AM;109669;0,3;851,2251501;106,61;0,81;70,92;0,673;29947
130390;São Paulo de Olivença (AM);AM;19922;1,2;982,0930881;50,54;0,68;69,89;0,536;23113
130395;São Sebastião do Uatumã (AM);AM;10788,7;0,7;246,2057973;72,93;0,58;59,11;0,659;7160
130400;Silves (AM);AM;3747,2;2,1;203,6306079;73,01;0,58;59,75;0,675;7785
130406;Tabatinga (AM);AM;3239,3;11,6;1106,655661;142,08;0,64;54,6;0,699;37919
130410;Tapauá (AM);AM;89713,1;0,3;448,5481078;47,73;0,64;68,69;0,498;20595
130420;Tefé (AM);AM;23808,9;2,7;520,6348562;117,55;0,59;50,13;0,663;64457
130423;Tonantins (AM);AM;6461,3;3;863,3784509;58,13;0,56;60,11;0,587;15512
130426;Uarini (AM);AM;10291,8;1,3;564,1616523;72,82;0,55;58,78;0,599;10254
130430;Urucará (AM);AM;28028,8;0,7;259,1295679;132,73;0,77;56,69;0,698;18372
130440;Urucurituba (AM);AM;2919,4;4,2;207,5120768;64,7;0,63;64,32;0,663;12264
