Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
160010;Amapá (AP);AP;9203,5;0,8;225,8414559;135,43;0,61;54,43;0,72;7121
160020;Calçoene (AP);AP;14333;0,5;273,5530031;136,15;0,62;56,11;0,688;6730
160021;Cutias (AP);AP;2127,6;1,5;109,242763;77,43;0,59;57,49;0,675;3280
160023;Ferreira Gomes (AP);AP;5072,2;0,7;91,88461549;107,19;0,56;49,68;0,72;3562
160025;Itaubal (AP);AP;1569,8;1,8;80,41289588;83,04;0,59;55,9;0,642;2894
160027;Laranjal do Jari (AP);AP;2493,6;11,3;165,398289;157,43;0,59;47,11;0,732;28515
160030;Macapá (AP);AP;6562,4;43,1;0;253,69;0,62;47,78;0,772;283308
160040;Mazagão (AP);AP;13189,6;0,9;30,11432944;87,18;0,62;60,04;0,659;11986
160050;Oiapoque (AP);AP;22725,7;0,6;431,238393;257,93;0,67;47,8;0,738;12886
160015;Pedra Branca do Amapari (AP);AP;9537,9;0,4;127,5198289;88,37;0,65;65,3;0,625;4009
160053;Porto Grande (AP);AP;4421,6;2,5;84,23734679;146,45;0,62;55,97;0,719;11042
160055;Pracuúba (AP);AP;4979,1;0,5;191,7976631;91,45;0,6;53,85;0,66;2286
160060;Santana (AP);AP;1599,7;50,1;16,80265079;162,39;0,64;50,26;0,742;80439
160005;Serra do Navio (AP);AP;7791,3;0,4;141,016067;146,38;0,64;57,01;0,743;3293
160070;Tartarugalzinho (AP);AP;6742;1,1;163,9085689;89,98;0,62;58,09;0,667;7121
160080;Vitória do Jari (AP);AP;31104,7;0,3;180,4112592;115,85;0,62;59,98;0,659;8560
