Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
290010;Abaíra (BA);BA;580,6;15,6;342,631865;102,11;0,55;50,94;0,681;9067
290020;Abaré (BA);BA;1700,8;8;476,8358385;79,88;0,56;56,43;0,595;13648
290030;Acajutiba (BA);BA;268,5;53,1;155,0273846;80,28;0,6;60,36;0,607;14322
290035;Adustina (BA);BA;636;22,6;274,5750212;85,81;0,52;50,48;0,551;14302
290060;Aiquara (BA);BA;195,9;27,1;196,6833822;86,14;0,56;54,02;0,627;5315
290070;Alagoinhas (BA);BA;736,8;175,9;93,32022623;181,26;0,6;50,34;0,729;130095
290080;Alcobaça (BA);BA;1510,9;14,9;510,6783779;116,63;0,57;51,21;0,637;20900
290090;Almadina (BA);BA;247,8;31,4;227,7822316;84,98;0,54;49,59;0,623;7862
290100;Amargosa (BA);BA;437,6;70,3;118,6305324;123,57;0,57;47,85;0,662;31108
290110;Amélia Rodrigues (BA);BA;153,2;157,6;69,64661974;125,66;0,58;47,77;0,695;24134
290115;América Dourada (BA);BA;748,1;21,3;359,5616698;65,05;0,56;59,61;0,564;15959
290120;Anagé (BA);BA;1859,3;21,9;336,8847238;61,94;0,57;62,41;0,586;31060
290130;Andaraí (BA);BA;1902,4;7,3;306,0045035;82,38;0,67;59,86;0,569;13884
290135;Andorinha (BA);BA;1212,5;13;325,3343209;76,26;0,6;60,35;0,57;15774
290140;Angical (BA);BA;1497,5;9,8;679,2726679;71,46;0,52;54,92;0,625;14701
290150;Anguera (BA);BA;170,8;51,7;121,0679561;71,09;0,54;55,82;0,623;8834
290160;Antas (BA);BA;289,1;48,6;286,3452549;99,99;0,49;44,79;0,632;14059
290170;Antônio Cardoso (BA);BA;295,1;39,4;88,9126658;73,64;0,54;56,59;0,647;11620
290180;Antônio Gonçalves (BA);BA;317,4;30,4;328,2970726;77,12;0,56;57,41;0,62;9716
290190;Aporá (BA);BA;600,9;27,9;152,9747598;71,85;0,58;59,69;0,604;16769
290195;Apuarema (BA);BA;151,3;49,2;165,6271706;72,09;0,55;54,94;0,617;7443
290200;Aracatu (BA);BA;1541,5;10;357,3538133;67,78;0,57;62,85;0,596;15491
290210;Araci (BA);BA;1576,3;30,2;188,6341885;59,24;0,6;62,83;0,557;47584
290205;Araçás (BA);BA;421,6;26,1;89,88724977;62,35;0,56;59,74;0,569;11003
290220;Aramari (BA);BA;332,7;27,8;98,79425567;94,75;0,61;58,57;0,588;9258
290225;Arataca (BA);BA;397,5;28,2;272,641539;73,17;0,51;51,16;0,578;11218
290230;Aratuípe (BA);BA;177,7;47,1;54,49405464;78,25;0,56;53,17;0,611;8381
290240;Aurelino Leal (BA);BA;448;37,9;173,5923067;63,21;0,51;52,88;0,574;17149
290040;Água Fria (BA);BA;710;20,7;125,7826721;58,15;0,55;59,9;0,572;14718
290250;Baianópolis (BA);BA;3428,7;3,5;657,3157693;76,9;0,74;70,15;0,592;12179
290260;Baixa Grande (BA);BA;986,4;20,7;211,9964137;73,35;0,56;57,99;0,66;20441
290265;Banzaê (BA);BA;213,1;52,3;266,2616981;70,57;0,5;54,01;0,592;11156
290270;Barra (BA);BA;12348,4;3,5;544,9852247;56,37;0,68;70,91;0,586;44203
290280;Barra da Estiva (BA);BA;1407,4;17,3;313,0967964;96,16;0,51;45,87;0,639;24440
290290;Barra do Choça (BA);BA;781,3;52,2;307,8755811;71,75;0,36;40,71;0,603;40818
290300;Barra do Mendes (BA);BA;1640,6;8,3;406,0974686;89,72;0,55;53,35;0,636;13610
290310;Barra do Rocha (BA);BA;193,3;41,7;181,302766;77,55;0,57;54,3;0,579;8074
290320;Barreiras (BA);BA;11979,5;11;708,5418028;229,24;0,63;46,09;0,723;131849
290323;Barro Alto (BA);BA;386,1;31,3;392,8653621;76,32;0,5;54,35;0,621;12098
290330;Barro Preto (BA);BA;121;71,1;229,0883118;84,06;0,52;46,58;0,606;8602
290340;Belmonte (BA);BA;2016,8;9,9;323,8425843;114,72;0,6;49,48;0,618;20032
290350;Belo Campo (BA);BA;610,7;28,9;374,9527532;98,47;0,54;54,03;0,631;17655
290360;Biritinga (BA);BA;594,7;24,6;153,6933032;78,97;0,6;56,07;0,596;14641
290370;Boa Nova (BA);BA;860;23,9;239,7858313;54,43;0,61;65,38;0,564;20544
290380;Boa Vista do Tupim (BA);BA;2640,1;7;229,93325;59,07;0,6;62,79;0,605;18408
290390;Bom Jesus da Lapa (BA);BA;4148,5;13,1;531,9756538;125,41;0,66;57,09;0,654;54421
290395;Bom Jesus da Serra (BA);BA;411,5;25,6;265,5911157;52,6;0,56;63,45;0,584;10502
290400;Boninal (BA);BA;851,1;14,6;360,6114981;76,8;0,61;63,28;0,656;12461
290405;Bonito (BA);BA;539,6;23,9;319,1915843;76,34;0,44;47,64;0,591;12902
290410;Boquira (BA);BA;1570,1;14,1;457,3871982;80,92;0,64;63,24;0,638;22121
290420;Botuporã (BA);BA;554,6;20,5;436,4665505;55,83;0,66;72,43;0,62;11522
290440;Brejolândia (BA);BA;2629;3,3;593,7353302;61,68;0,56;61,76;0,634;8762
290430;Brejões (BA);BA;483,1;31,7;139,8911453;100,11;0,48;41,75;0,643;15344
290450;Brotas de Macaúbas (BA);BA;2343,5;5,5;459,3149904;64,08;0,69;70,49;0,628;13003
290460;Brumado (BA);BA;2174,5;28,3;367,1740432;135,33;0,59;51,79;0,693;61670
290470;Buerarema (BA);BA;210,3;91;236,7231395;87,03;0,55;51,91;0,631;19118
290475;Buritirama (BA);BA;3813,5;4,7;610,9344097;40,52;0,75;79,96;0,582;17797
290480;Caatiba (BA);BA;658;22,9;302,5316135;68,33;0,64;42,14;0,606;15508
290485;Cabaceiras do Paraguaçu (BA);BA;214,4;72,5;88,13489413;64,59;0,61;65,26;0,592;15547
290490;Cachoeira (BA);BA;400;75,8;62,15986361;119,47;0,6;51,93;0,681;30416
290500;Caculé (BA);BA;688,3;29,5;435,2274284;145,14;0,7;56,48;0,696;20339
290515;Caetanos (BA);BA;860,3;15,3;300,2876881;61,66;0,61;66,92;0,58;13076
290520;Caetité (BA);BA;2366,4;19,1;445,3019072;108,25;0,68;60,56;0,673;45090
290510;Caém (BA);BA;499,5;25,1;295,5659832;65,82;0,58;64,15;0,58;12563
290530;Cafarnaum (BA);BA;1075;14,7;350,9566199;85,82;0,59;56,87;0,598;16059
290540;Cairu (BA);BA;452,9;25,2;81,31260245;85,31;0,52;51,29;0,639;11410
290550;Caldeirão Grande (BA);BA;497,9;22,9;291,4354867;60,96;0,64;65;0,588;11395
290560;Camacan (BA);BA;635,2;48,9;291,981805;106,97;0,61;54,49;0,631;31055
290570;Camaçari (BA);BA;762,7;211,3;36,47926037;163,15;0,6;47,57;0,734;161727
290580;Camamu (BA);BA;888,5;37,8;125,7802119;79,1;0,62;59,54;0,624;33661
290590;Campo Alegre de Lourdes (BA);BA;2766,3;10;622,7698486;62,98;0,63;65,76;0,58;27607
290600;Campo Formoso (BA);BA;6833,6;9,1;337,0684761;91,24;0,66;60,39;0,613;61942
290620;Canarana (BA);BA;657,3;33;381,448887;87,74;0,61;60,2;0,601;21665
290630;Canavieiras (BA);BA;1380,5;25,5;304,1124867;120,98;0,61;47,42;0,639;35322
290610;Canápolis (BA);BA;466,1;20,9;616,210271;77,34;0,61;59,73;0,625;9743
290640;Candeal (BA);BA;456,2;22,2;145,1042435;72,09;0,53;55,41;0,61;10121
290650;Candeias (BA);BA;265,5;289,1;33,94715572;149,38;0,56;52,73;0,719;76783
290660;Candiba (BA);BA;399,4;30,4;496,7421471;75,75;0,57;59,81;0,645;12124
290680;Cansanção (BA);BA;1324,9;24,1;277,2025263;56,3;0,66;67,36;0,538;31947
290682;Canudos (BA);BA;3000,6;4,6;347,5561898;75,3;0,55;57,45;0,599;13761
290685;Capela do Alto Alegre (BA);BA;658,2;18;204,2459272;104,52;0,54;51,74;0,634;11898
290687;Capim Grosso (BA);BA;351,5;67,8;240,4812884;106,09;0,58;51,96;0,607;23908
290689;Caraíbas (BA);BA;1274,2;13,5;354,4554695;74,29;0,6;57,49;0,578;17164
290690;Caravelas (BA);BA;2369,1;8,5;535,1881126;184,73;0,74;47,65;0,667;20103
290700;Cardeal da Silva (BA);BA;195,7;41;129,5861565;69,82;0,6;61,47;0,602;8034
290710;Carinhanha (BA);BA;2762,2;9,8;586,382952;64,71;0,6;60,98;0,607;27272
290720;Casa Nova (BA);BA;9697,4;5,7;501,0845343;88,76;0,56;52,81;0,611;55730
290730;Castro Alves (BA);BA;767,3;33;101,9160464;80,07;0,6;57,44;0,642;25561
290740;Catolândia (BA);BA;623,1;5;692,2908309;69,89;0,52;59,79;0,626;3092
290750;Catu (BA);BA;520;89,9;70,14749766;140,23;0,59;55,92;0,716;46731
290755;Caturama (BA);BA;648,6;13,3;410,9447857;63,82;0,54;58,83;0,605;8640
290670;Cândido Sales (BA);BA;1305,9;21,8;406,940845;110,8;0,56;49,84;0,636;28516
290760;Central (BA);BA;367,9;45,6;441,3361154;82,83;0,61;58,74;0,614;16792
290770;Chorrochó (BA);BA;2658,9;3,7;448,0148691;68,4;0,64;64,63;0,589;10171
290790;Cipó (BA);BA;165,3;86,4;207,9065424;101,4;0,58;53,49;0,61;14285
290780;Cícero Dantas (BA);BA;726,6;42,6;263,8331164;102,98;0,57;50,41;0,574;30934
290800;Coaraci (BA);BA;297,9;95,3;216,8639829;99,23;0,6;52,65;0,655;27852
290810;Cocos (BA);BA;10121,2;1,7;664,3578826;82,9;0,63;64,16;0,615;17611
290820;Conceição da Feira (BA);BA;160,3;109,3;73,94188178;96,8;0,53;48,39;0,668;17514
290830;Conceição do Almeida (BA);BA;291,1;64,8;72,98751746;94,82;0,52;48,15;0,642;18912
290840;Conceição do Coité (BA);BA;1090,5;51,6;177,3989507;94,9;0,57;52,05;0,611;56317
290850;Conceição do Jacuípe (BA);BA;145,1;180,4;65,24037377;140,29;0,56;42,05;0,695;26194
290860;Conde (BA);BA;954,4;21,4;161,4613194;78,9;0,59;62,78;0,594;20426
290870;Condeúba (BA);BA;1241,5;14,5;429,8605824;107,44;0,65;57,57;0,631;18047
290880;Contendas do Sincorá (BA);BA;865,3;4,9;287,3238581;97,25;0,55;50,4;0,619;4264
290890;Coração de Maria (BA);BA;358,7;66,4;86,00466154;92,6;0,56;52,92;0,64;23818
290900;Cordeiros (BA);BA;556,4;14,6;434,82091;84,11;0,52;53,47;0,615;8193
290910;Coribe (BA);BA;2688,5;5,6;649,4217945;55,83;0,62;67,71;0,611;15148
290920;Coronel João Sá (BA);BA;850,3;23,2;305,2914433;56,94;0,57;61,37;0,526;19665
290930;Correntina (BA);BA;11636,4;2,6;664,1221589;90,57;0,63;61,5;0,642;30583
290940;Cotegipe (BA);BA;4162;3,2;632,1946117;76,42;0,55;54,69;0,607;13374
290950;Cravolândia (BA);BA;160,2;31,1;147,5322044;77,42;0,56;54,46;0,636;5001
290960;Crisópolis (BA);BA;464,9;40,3;166,9041196;80,22;0,53;53,72;0,553;19037
290970;Cristópolis (BA);BA;884,2;14,3;646,0897689;75,83;0,56;55,35;0,619;12662
290980;Cruz das Almas (BA);BA;173,9;305,1;72,24363356;159,01;0,59;41,92;0,723;53049
290990;Curaçá (BA);BA;6476;4,5;467,6605933;95,15;0,59;54,72;0,626;28841
291000;Dário Meira (BA);BA;401,8;37,9;221,9115503;55,07;0,51;57,66;0,549;15222
291005;Dias d'Ávila (BA);BA;208,3;217,5;46,04643827;146,82;0,57;53,69;0,732;45333
291010;Dom Basílio (BA);BA;655,4;15,7;363,1753578;90,4;0,51;54,39;0,639;10427
291020;Dom Macedo Costa (BA);BA;91,6;40,9;74,22310045;89,83;0,52;48,53;0,647;3748
291030;Elísio Medrado (BA);BA;200,3;39,2;109,516436;102,26;0,52;47,52;0,655;7860
291040;Encruzilhada (BA);BA;2048,2;16,1;384,1990728;80,23;0,45;46,8;0,602;32924
291050;Entre Rios (BA);BA;1169,3;32,1;123,3723084;109,66;0,59;49,63;0,628;37513
291060;Esplanada (BA);BA;1408,5;19,3;144,2950119;83,2;0,62;59,03;0,609;27230
291070;Euclides da Cunha (BA);BA;2383,8;22,6;279,1050825;79,05;0,59;58,33;0,596;53885
291072;Eunápolis (BA);BA;1197,3;70,5;395,6354466;195,88;0,64;48,94;0,704;84120
290050;Érico Cardoso (BA);BA;704;17,3;395,7338976;74,34;0,61;60,74;0,592;12160
291075;Fátima (BA);BA;297,5;61,5;265,3990821;84,64;0,55;54,77;0,554;18298
291077;Feira da Mata (BA);BA;1661,8;3,8;638,1402944;76,48;0,61;60,61;0,634;6235
291080;Feira de Santana (BA);BA;1338,1;359,2;92,54533409;206,99;0,62;47,18;0,74;480949
291085;Filadélfia (BA);BA;566,2;30,2;304,1597172;54,58;0,56;63,68;0,586;17194
291090;Firmino Alves (BA);BA;160;32,3;270,7326072;96,74;0,56;50,51;0,641;5170
291100;Floresta Azul (BA);BA;352,9;32,9;243,7566412;88,24;0,56;51,14;0,641;11614
291110;Formosa do Rio Preto (BA);BA;16514,3;1,1;756,9819224;117,52;0,8;65,16;0,646;18288
291120;Gandu (BA);BA;230;118,1;136,0594353;150,19;0,68;51,97;0,674;27160
291125;Gavião (BA);BA;336,8;14,2;216,5503261;78,57;0,54;53,97;0,64;4792
291130;Gentio do Ouro (BA);BA;3685,8;2,8;466,1855418;58,39;0,62;68,3;0,575;10173
291140;Glória (BA);BA;1282,1;11,4;404,5363555;78,57;0,64;66,51;0,641;14559
291150;Gongogi (BA);BA;199,1;52,5;182,067633;60,93;0,54;56,58;0,586;10522
291160;Governador Mangabeira (BA);BA;94,7;181,2;70,74433271;94,94;0,58;56;0,676;17165
291165;Guajeru (BA);BA;645,8;20;409,4238324;84,51;0,48;52,04;0,633;12836
291170;Guanambi (BA);BA;1264,5;56,7;481,6954411;152,91;0,66;54,07;0,701;71728
291180;Guaratinga (BA);BA;2334,6;10,4;424,0924904;80,95;0,54;50;0,593;24319
291185;Heliópolis (BA);BA;313,2;41,9;255,417365;76,92;0,48;51,92;0,58;13108
291190;Iaçu (BA);BA;2452,1;11,6;185,6560597;87,53;0,58;53,45;0,592;28501
291200;Ibiassucê (BA);BA;383,5;33,4;429,1157229;104,32;0,54;53,44;0,659;12828
291210;Ibicaraí (BA);BA;218,7;131,9;240,3876786;106,8;0,62;52,48;0,634;28861
291220;Ibicoara (BA);BA;980,8;14,7;304,0679432;120,38;0,57;43,67;0,632;14453
