Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
230010;Abaiara (CE);CE;182,6;45,9;408,503627;71,76;0,62;65,18;0,627;8385
230015;Acarape (CE);CE;136,5;94,7;59,23261875;79,35;0,51;51,81;0,623;12927
230020;Acaraú (CE);CE;839,2;58,4;197,8184874;80,6;0,65;59,19;0,617;48968
230030;Acopiara (CE);CE;2296,2;20,5;282,7956327;90,04;0,72;65,37;0,597;47137
230040;Aiuaba (CE);CE;2471,6;5,8;362,4859311;51,76;0,66;69,28;0,566;14452
230050;Alcântaras (CE);CE;134,9;70,8;222,5759723;68,42;0,55;57,8;0,607;9548
230060;Altaneira (CE);CE;87,1;65,2;388,3402708;70,93;0,63;64,9;0,576;5687
230070;Alto Santo (CE);CE;1322,9;11,6;202,6950209;92,75;0,57;53,17;0,654;15394
230075;Amontada (CE);CE;1581,9;20,5;117,5342334;62,77;0,72;71,17;0,616;32333
230080;Antonina do Norte (CE);CE;250,8;25,9;375,5838691;73,91;0,6;61,27;0,613;6509
230090;Apuiarés (CE);CE;565,1;22,2;101,880262;62,09;0,58;61,79;0,622;12540
230100;Aquiraz (CE);CE;482,8;125,5;26,49647517;123,29;0,57;43,12;0,67;60469
230110;Aracati (CE);CE;1276;47,9;127,1063923;107,65;0,58;52,25;0,672;61187
230120;Aracoiaba (CE);CE;628,1;38,3;78,6358281;72,31;0,57;56,55;0,597;24064
230125;Ararendá (CE);CE;354,7;28,2;278,6576202;66,26;0,62;65,9;0,626;10008
230130;Araripe (CE);CE;1042,5;18,8;422,5456972;64,14;0,69;69,31;0,584;19606
230140;Aratuba (CE);CE;157,5;78,5;95,72676235;61,54;0,56;60,31;0,633;12359
230150;Arneiroz (CE);CE;941,9;8;340,5762564;58,97;0,58;62,74;0,587;7538
230160;Assaré (CE);CE;1127,2;18,6;380,4996594;65,21;0,62;64,22;0,577;20882
230170;Aurora (CE);CE;892,2;28,5;361,543121;70,1;0,51;55,84;0,613;25207
230180;Baixio (CE);CE;141,8;40,3;335,3576372;67,47;0,56;59,56;0,589;5724
230185;Banabuiú (CE);CE;1225,5;13,2;181,8990221;83,31;0,63;60,8;0,629;16173
230190;Barbalha (CE);CE;451,9;104;407,4381133;116,26;0,62;51,79;0,687;47031
230195;Barreira (CE);CE;228,3;74,4;64,30106529;75,17;0,55;57,95;0,619;17024
230200;Barro (CE);CE;697,8;28,7;385,3828177;86,46;0,54;52,33;0,658;20007
230205;Barroquinha (CE);CE;367,9;37,8;298,0156398;60,17;0,54;57,54;0,551;13921
230210;Baturité (CE);CE;347,3;85,8;77,85787395;106,16;0,63;53,32;0,642;29861
230220;Beberibe (CE);CE;1626,9;26;68,79640078;81,18;0,61;56,13;0,651;42343
230230;Bela Cruz (CE);CE;846,3;33,5;194,8548632;61,87;0,55;60,13;0,595;28358
230240;Boa Viagem (CE);CE;2737,5;18,4;204,7795191;82,68;0,67;62,81;0,611;50306
230250;Brejo Santo (CE);CE;684,3;56,1;422,4256326;114,54;0,63;54,43;0,673;38484
230260;Camocim (CE);CE;1157,5;47,9;270,5341328;99,73;0,66;55,7;0,629;55448
230270;Campos Sales (CE);CE;1093,1;23,3;424,5692968;123,88;0,69;55,37;0,655;25566
230280;Canindé (CE);CE;3205,4;21,7;111,1525713;77,17;0,62;61,87;0,634;69601
230290;Capistrano (CE);CE;186,9;84,7;92,6049071;56,31;0,59;65,19;0,631;15830
230300;Caridade (CE);CE;791,7;19,7;92,01462833;67,73;0,56;57,13;0,618;15604
230310;Cariré (CE);CE;711,2;26,7;215,5554712;67,34;0,6;60,14;0,622;18617
230320;Caririaçu (CE);CE;690,5;37,3;378,4565638;62,51;0,59;63,95;0,591;25733
230330;Cariús (CE);CE;1055,9;17,5;330,6648366;65,61;0,65;68,04;0,63;18444
230340;Carnaubal (CE);CE;292,2;52,2;270,7144983;75,97;0,65;64,4;0,609;15230
230350;Cascavel (CE);CE;820,4;69,6;57,22444889;115,95;0,65;52,25;0,673;57129
230360;Catarina (CE);CE;582,1;26,8;306,2605552;55,63;0,6;64,27;0,58;15547
230365;Catunda (CE);CE;807,6;11,5;210,8658359;57,48;0,57;62,84;0,628;9286
230370;Caucaia (CE);CE;1195,6;209,3;12,65554087;129,23;0,56;48,94;0,721;250479
230380;Cedro (CE);CE;678,8;35,4;326,2317893;95,59;0,59;55,16;0,634;24062
230390;Chaval (CE);CE;247,9;49;309,0755741;69,09;0,64;62,38;0,579;12163
230395;Chorozinho (CE);CE;308,3;60,7;64,98331816;82,49;0,53;50,73;0,633;18707
230393;Choró (CE);CE;792,7;15,1;141,5843487;53,28;0,61;67,43;0,57;12001
230400;Coreaú (CE);CE;815;24,5;235,3274265;64,44;0,52;55,85;0,591;19981
230410;Crateús (CE);CE;2799,6;25,3;286,8765227;121,21;0,63;52,31;0,676;70898
230420;Crato (CE);CE;1117,5;93,4;402,3737402;168,05;0,66;50,03;0,716;104646
230423;Croatá (CE);CE;382,7;42,9;273,2231301;54,72;0,62;63,63;0,557;16064
230425;Cruz (CE);CE;329,1;60,1;201,3423126;73,03;0,6;58,2;0,643;19779
230426;Deputado Irapuan Pinheiro (CE);CE;509,6;16,5;257,305864;82,78;0,6;59,94;0,6;8385
230427;Ererê (CE);CE;323;19,5;258,1378602;77,71;0,59;61,64;0,619;6302
230428;Eusébio (CE);CE;78;403,7;21,76243406;107,13;0,63;55,92;0,684;31500
230430;Farias Brito (CE);CE;476,8;42,6;374,6414624;72,43;0,57;61,84;0,609;20315
230435;Forquilha (CE);CE;548,4;31,9;190,7062577;92,36;0,59;56,62;0,643;17488
230440;Fortaleza (CE);CE;313,8;6814;0;306,7;0,66;43,73;0,786;2141402
230445;Fortim (CE);CE;279,7;43,2;116,2205689;101,23;0,56;54,69;0,633;12066
230450;Frecheirinha (CE);CE;137,5;85,9;252,0834985;70,4;0,61;62,5;0,605;11832
230460;General Sampaio (CE);CE;184,9;26,3;107,6777839;58,56;0,61;63,54;0,606;4866
230465;Graça (CE);CE;261,3;56,6;247,7239404;52,57;0,56;63,23;0,593;14813
230470;Granja (CE);CE;2705;17,9;261,7793832;55,09;0,59;62,85;0,554;48484
230480;Granjeiro (CE);CE;99;53,5;360,1874963;52,77;0,64;72,69;0,576;5295
230490;Groaíras (CE);CE;156,1;56;205,1668717;84,73;0,58;57,64;0,653;8741
230495;Guaiúba (CE);CE;271,3;73,3;37,37409312;71,39;0,49;51,96;0,652;19884
230500;Guaraciaba do Norte (CE);CE;537,1;65,1;249,50136;78,44;0,57;54,65;0,629;35037
230510;Guaramiranga (CE);CE;107,6;53,1;74,49834956;78,65;0,52;52,65;0,654;5714
230520;Hidrolândia (CE);CE;978,8;18,1;223,6367561;72,47;0,62;63,84;0,638;17687
230523;Horizonte (CE);CE;191,9;176,1;42,76643882;125,68;0,62;47,1;0,679;33790
230526;Ibaretama (CE);CE;822,3;15,4;123,0085986;62,56;0,53;59,15;0,597;12561
230530;Ibiapina (CE);CE;368,1;60,2;261,113423;79,26;0,59;59,01;0,646;22157
230533;Ibicuitinga (CE);CE;380,6;24,8;140,0822509;68,08;0,57;59,93;0,642;9435
230535;Icapuí (CE);CE;429,4;37,4;171,9920629;90,61;0,49;48,9;0,631;16052
230540;Icó (CE);CE;1936,8;32,3;300,3285366;86,9;0,62;59,87;0,607;62521
230550;Iguatu (CE);CE;1042,6;82,2;305,270517;151,13;0,59;47,33;0,692;85615
230560;Independência (CE);CE;3178,2;7,9;270,31837;98,14;0,58;52,03;0,657;25262
230565;Ipaporanga (CE);CE;646,4;17,4;278,5157867;55,01;0,56;60,97;0,609;11247
230570;Ipaumirim (CE);CE;286,2;40,3;342,0265253;83,5;0,62;58,17;0,646;11539
230580;Ipu (CE);CE;636;61,5;249,5406839;96,23;0,59;54,97;0,67;39078
230590;Ipueiras (CE);CE;1131,7;33,4;258,0033588;67,22;0,59;60,54;0,617;38219
230600;Iracema (CE);CE;770;16,9;234,2709031;108,71;0,65;60,82;0,66;13155
230610;Irauçuba (CE);CE;1384,9;14,1;137,5344305;62,66;0,59;62,58;0,618;19560
230620;Itaiçaba (CE);CE;240,2;27,4;133,0146488;79,15;0,54;54,39;0,641;6579
230625;Itaitinga (CE);CE;155,3;188,1;28,05158075;96,53;0,5;48,05;0,68;29217
230630;Itapagé (CE);CE;399;102,9;115,7043476;91,52;0,61;57,14;0,642;41093
230640;Itapipoca (CE);CE;1191,6;79,2;148,3028533;83,12;0,64;62,13;0,659;94369
230650;Itapiúna (CE);CE;592,9;27,4;103,0663324;69,36;0,68;67,52;0,633;16276
230655;Itarema (CE);CE;738,4;41,1;176,0911803;63,1;0,6;63,17;0,601;30347
230660;Itatira (CE);CE;740,6;21;149,8080107;53,6;0,67;70,26;0,569;15541
230670;Jaguaretama (CE);CE;1870,8;9,6;212,1389784;86,89;0,56;55,8;0,645;18024
230680;Jaguaribara (CE);CE;595,6;14,7;215,8524185;89,02;0,54;52,78;0,653;8730
230690;Jaguaribe (CE);CE;1822,3;19,2;241,7331887;119,71;0,64;53,7;0,672;35062
230700;Jaguaruana (CE);CE;746,4;39,8;150,1184362;86,29;0,58;55,71;0,654;29735
230710;Jardim (CE);CE;500,9;52,8;437,5152338;66,16;0,66;67,19;0,642;26414
230720;Jati (CE);CE;347,5;20,9;444,1241435;90,96;0,58;55,01;0,653;7265
230725;Jijoca de Jericoacoara (CE);CE;195,9;61,7;241,4202541;91,19;0,64;59,88;0,623;12089
230730;Juazeiro do Norte (CE);CE;235,4;900;397,7476092;147,11;0,61;46,18;0,697;212133
230740;Jucás (CE);CE;940,7;24;330,5173107;65,56;0,61;64,6;0,597;22632
230750;Lavras da Mangabeira (CE);CE;993,3;31,3;340,6831392;70,57;0,62;64,21;0,636;31203
230760;Limoeiro do Norte (CE);CE;771;64,1;166,2673583;131,9;0,59;48,83;0,711;49620
230763;Madalena (CE);CE;1109,2;13,4;170,8050602;73,61;0,6;61,98;0,634;14864
230765;Maracanaú (CE);CE;98,6;1770,8;20,01973678;129,76;0,51;45,24;0,736;179732
230770;Maranguape (CE);CE;654,8;133,4;24,91864508;105,09;0,54;48,7;0,691;88135
230780;Marco (CE);CE;583,8;35;189,7284996;78,87;0,61;59,85;0,616;20427
230790;Martinópole (CE);CE;265,8;32,4;245,0631786;62,25;0,61;63,3;0,583;8602
230800;Massapê (CE);CE;533,4;55,4;200,7774357;69,01;0,58;59,04;0,6;29574
230810;Mauriti (CE);CE;1045,5;40,5;408,8314067;84,38;0,63;58,79;0,646;42399
230820;Meruoca (CE);CE;155,4;73;212,925017;79,39;0,59;57,84;0,638;11339
230830;Milagres (CE);CE;620,5;43,5;402,0651232;78,96;0,65;61,68;0,641;26959
230835;Milhã (CE);CE;525,2;24,8;229,2059135;81,19;0,55;53,55;0,632;13028
230837;Miraíma (CE);CE;766,1;14,9;159,1000245;50,13;0,67;69,05;0,583;11417
230840;Missão Velha (CE);CE;533,9;60,3;398,1553101;96,25;0,65;58,79;0,631;32586
230850;Mombaça (CE);CE;2114,1;19,5;255,1836782;75,07;0,71;67,66;0,604;41215
230860;Monsenhor Tabosa (CE);CE;877,7;18,6;206,3007474;61,59;0,6;64,15;0,628;16344
230870;Morada Nova (CE);CE;2796,6;23;155,600838;109,14;0,55;50,05;0,67;64400
230880;Moraújo (CE);CE;471;14,9;238,7294305;54,9;0,54;60,04;0,594;7046
230890;Morrinhos (CE);CE;404,2;44,3;183,6564485;66,06;0,67;66,77;0,608;17928
230900;Mucambo (CE);CE;240,2;57,5;245,2957576;77,8;0,61;59,37;0,629;13811
230910;Mulungu (CE);CE;103,8;85,7;82,49295315;86,09;0,61;57,47;0,65;8897
230920;Nova Olinda (CE);CE;290,7;41,6;395,5903062;91,73;0,63;60,28;0,637;12077
230930;Nova Russas (CE);CE;741,4;39,6;249,4237725;103,07;0,63;54,23;0,64;29347
230940;Novo Oriente (CE);CE;951,1;27,4;319,0915713;78,53;0,59;59,81;0,602;26119
230945;Ocara (CE);CE;775,2;27,7;86,21487226;56,83;0,59;61,72;0,594;21584
230950;Orós (CE);CE;598,7;36,7;283,7872951;78,54;0,56;56,89;0,627;22023
230960;Pacajus (CE);CE;241,9;181,2;51,47964712;105,87;0,54;48,87;0,678;44070
230970;Pacatuba (CE);CE;138;374,7;30,87281817;100,16;0,49;47,27;0,717;51696
230980;Pacoti (CE);CE;94,5;115,5;70,43382482;78,51;0,56;53,58;0,668;10929
230990;Pacujá (CE);CE;65,8;85,8;240,7024639;76,12;0,56;56,98;0,639;5653
231000;Palhano (CE);CE;438,8;18,6;131,2897877;68,55;0,58;58,53;0,649;8166
231010;Palmácia (CE);CE;150,8;66,4;58,67993813;72,98;0,59;59,98;0,65;9859
231020;Paracuru (CE);CE;296,6;92,7;63,9758305;81,7;0,61;60,83;0,641;27541
231025;Paraipaba (CE);CE;314,1;80,6;73,86619703;84,54;0,58;54,76;0,666;25462
231030;Parambu (CE);CE;2440,1;13,2;365,3710881;68,17;0,58;58,13;0,613;32302
231040;Paramoti (CE);CE;514,8;21,3;87,95800405;57,62;0,65;66,52;0,597;10970
231050;Pedra Branca (CE);CE;1290,2;31,6;232,7301846;81,9;0,62;60,61;0,605;40742
231060;Penaforte (CE);CE;178,1;39,4;460,7219315;92,09;0,56;52,22;0,687;7017
231070;Pentecoste (CE);CE;1352;24;81,05197063;85,15;0,58;53,63;0,635;32600
231080;Pereiro (CE);CE;423,1;35,8;258,8466016;69,68;0,68;67,69;0,626;15225
231085;Pindoretama (CE);CE;75,7;197,5;43,41276005;104,22;0,6;49,71;0,657;14951
231090;Piquet Carneiro (CE);CE;580,1;22,6;251,3335647;72,56;0,66;66,98;0,622;13131
231095;Pires Ferreira (CE);CE;247,5;34,9;240,3369873;64,48;0,57;60,3;0,606;8643
231100;Poranga (CE);CE;247,4;47,4;287,7215151;63,77;0,67;68,55;0,597;11737
231110;Porteiras (CE);CE;190,2;82,3;428,9929568;86,06;0,56;53,11;0,644;15658
231120;Potengi (CE);CE;334,5;27,2;409,2770047;78,35;0,59;59,65;0,596;9138
231123;Potiretama (CE);CE;495,2;11,6;219,1934884;71,3;0,65;68,64;0,617;5768
231126;Quiterianópolis (CE);CE;1069,4;17,1;336,0155068;71,98;0,53;57,55;0,625;18355
231130;Quixadá (CE);CE;2059,7;33,7;148,8349773;101;0,6;56,52;0,673;69654
231135;Quixelã (CE);CE;554,5;28,1;291,1958518;66,71;0,61;63,73;0,592;15596
231140;Quixeramobim (CE);CE;3275;18;184,4522971;85,84;0,61;59,49;0,64;59235
231150;Quixeré (CE);CE;600,8;28,1;162,8030382;82,66;0,52;49,6;0,652;16862
231160;Redenção (CE);CE;240,7;103,8;60,27737361;78,1;0,54;54,05;0,651;24993
231170;Reriutaba (CE);CE;366;58;230,9211581;77,63;0,53;54,31;0,653;21224
231180;Russas (CE);CE;1614,3;35,5;149,7184506;110,33;0,55;49,13;0,698;57320
231190;Saboeiro (CE);CE;1354,2;12;348,3193764;55,71;0,7;70,98;0,56;16226
231195;Salitre (CE);CE;797,5;17,4;449,4408469;55,2;0,55;62,15;0,558;13925
231220;Santa Quitéria (CE);CE;4270,5;9,9;191,5124615;81,63;0,66;63,78;0,642;42375
231200;Santana do Acaraú (CE);CE;1017,7;25,7;187,2685548;79,14;0,68;62,29;0,619;26198
231210;Santana do Cariri (CE);CE;806,5;20,9;407,6780747;59,06;0,66;67,38;0,609;16847
231230;São Benedito (CE);CE;301,1;132,4;260,0579249;90,85;0,65;57,89;0,618;39894
231240;São Gonçalo do Amarante (CE);CE;845,8;41,7;48,82416323;81,06;0,57;53,95;0,639;35608
231250;São João do Jaguaribe (CE);CE;286,8;30,1;175,2326904;110,74;0,57;49,65;0,694;8650
231260;São Luís do Curu (CE);CE;125,7;91,4;77,79793123;100,26;0,63;53,38;0,65;11497
231270;Senador Pompeu (CE);CE;1043,9;26,1;227,2749982;104,29;0,6;54,96;0,618;27225
231280;Senador Sá (CE);CE;431,2;12,9;216,7932475;56,13;0,56;60,37;0,6;5605
231290;Sobral (CE);CE;2129;72,9;200,4045401;151,57;0,63;47,29;0,699;155276
231300;Solonópole (CE);CE;1440,1;11,7;229,85975;83;0,52;52,11;0,64;16902
231310;Tabuleiro do Norte (CE);CE;832,7;32,3;176,0330618;123,4;0,56;52,95;0,698;27098
231320;Tamboril (CE);CE;2046,6;12,7;232,7385615;57,94;0,57;63,43;0,62;25973
231325;Tarrafas (CE);CE;451,1;20,5;356,1753467;46,35;0,65;72,92;0,57;9213
231330;Tauá (CE);CE;3957,4;13,1;319,4753237;105,85;0,6;52,31;0,665;51948
231335;Tejuçuoca (CE);CE;804,5;16,8;118,9846018;57,08;0,7;68,26;0,611;13519
231340;Tianguá (CE);CE;647,5;89,6;271,5631443;92,53;0,58;54,95;0,64;58069
231350;Trairi (CE);CE;943,2;47,2;94,14643594;61,58;0,58;61,85;0,632;44527
231355;Tururu (CE);CE;203,2;56,5;100,2850583;56,39;0,62;65,22;0,6;11498
231360;Ubajara (CE);CE;290,5;93;264,1058055;108,47;0,57;45,43;0,657;27095
231370;Umari (CE);CE;265,6;28;326,1557211;64,3;0,67;69,5;0,584;7435
