Codigo;Município;Area;Densidade;Distancia;RendaperCapita;Gini;Intensidadedapobreza;IDH;Populacaototal
520005;Abadia de Goiás (GO);136,9;36,3;21,41430839;205,27;0,53;34,4;0,742;4971
310010;Abadia dos Dourados (MG);897,4;7,2;390,8765127;196,36;0,52;35,22;0,76;6446
520010;Abadiânia (GO);1047,7;10,9;78,64143511;168,31;0,56;40,32;0,723;11452
150010;Abaetetuba (PA);1613,9;73,8;51,18455171;102,14;0,59;51,04;0,706;119152
310020;Abaeté (MG);1822,4;12,3;172,3115491;253,68;0,58;31,68;0,778;22360
230010;Abaiara (CE);182,6;45,9;408,503627;71,76;0,62;65,18;0,627;8385
290010;Abaíra (BA);580,6;15,6;342,631865;102,11;0,55;50,94;0,681;9067
290020;Abaré (BA);1700,8;8;476,8358385;79,88;0,56;56,43;0,595;13648
410010;Abatiá (PR);247,2;33,3;258,4276561;148,92;0,47;36,93;0,71;8259
420005;Abdon Batista (SC);198;14;243,6190155;166,91;0,5;39,67;0,774;2775
150013;Abel Figueiredo (PA);616,9;9,6;388,8927371;194,77;0,61;42,47;0,704;5957
420010;Abelardo Luz (SC);1037,7;15,8;391,0529143;237,02;0,72;56,84;0,785;16440
310030;Abre Campo (MG);472,4;28,2;163,3776767;161,48;0,52;42,99;0,719;13348
260005;Abreu e Lima (PE);129,1;690,1;15,96368059;129,6;0,48;45,63;0,73;89039
170025;Abreulândia (TO);1903,1;1,1;108,1625774;105,26;0,57;51,98;0,667;2189
310040;Acaiaca (MG);101,2;38,3;104,1346558;136,2;0,56;40,88;0,678;3889
290030;Acajutiba (BA);268,5;53,1;155,0273846;80,28;0,6;60,36;0,607;14322
230015;Acarape (CE);136,5;94,7;59,23261875;79,35;0,51;51,81;0,623;12927
230020;Acaraú (CE);839,2;58,4;197,8184874;80,6;0,65;59,19;0,617;48968
150020;Acará (PA);4363,6;11,8;65,66332785;81,8;0,51;48,26;0,629;52126
240010;Acari (RN);612,9;18,2;173,3097936;133,38;0,49;41,76;0,698;11189
220005;Acauã (PI);994,9;5,2;395,8402898;39,59;0,67;73,66;0,532;5147
230030;Acopiara (CE);2296,2;20,5;282,7956327;90,04;0,72;65,37;0,597;47137
510010;Acorizal (MT);844,1;6,9;52,13629688;124,33;0,59;49,45;0,695;5817
120001;Acrelândia (AC);1609,7;4,9;102,7801679;136,54;0,64;54,69;0,68;7935
520013;Acreúna (GO);1571,1;11,6;143,4666658;249,96;0,6;39,57;0,763;18301
210005;Açailândia (MA);6431;13,7;445,1678467;148,62;0,63;45,18;0,666;88320
240020;Açu (RN);1297,5;36,9;189,528822;141,27;0,6;47,1;0,677;47904
310050;Açucena (MG);814;14,1;169,2990246;90,49;0,56;52,01;0,659;11489
350010;Adamantina (SP);412,9;81,1;499,9510598;354,98;0,54;33,3;0,812;33497
520015;Adelândia (GO);115,7;21,5;101,477113;164,76;0,56;40,67;0,715;2460
350020;Adolfo (SP);211,4;17,4;401,9292569;238,02;0,45;35,02;0,795;3684
410020;Adrianópolis (PR);1333;5,3;90,25479778;115,6;0,59;58,81;0,683;7007
290035;Adustina (BA);636;22,6;274,5750212;85,81;0,52;50,48;0,551;14302
260010;Afogados da Ingazeira (PE);386;85,3;305,419164;140,66;0,66;55,8;0,683;32922
240030;Afonso Bezerra (RN);560,8;19,4;147,1712354;92,47;0,62;58,48;0,629;10867
