Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
320010;Afonso Claúdio (ES);ES;955,2;33,7;86,37269287;183,75;0,55;44;0,717;32232
320020;Alegre (ES);ES;778,6;40,7;133,8161597;216,98;0,58;38,31;0,739;31714
320030;Alfredo Chaves (ES);ES;616,5;22,1;55,42936714;197,85;0,56;41,59;0,754;13616
320035;Alto Rio Novo (ES);ES;234,2;29,7;157,2990168;174,25;0,55;41,84;0,679;6964
320040;Anchieta (ES);ES;418,1;45,7;62,37303017;227,8;0,55;43,3;0,785;19176
320050;Apiacá (ES);ES;194,4;39,2;157,9475657;179,34;0,56;38,96;0,723;7615
320060;Aracruz (ES);ES;1419;45,4;55,86236117;250,45;0,61;45,19;0,772;64637
320070;Atilio Vivacqua (ES);ES;227,1;36,6;111,2265069;173,26;0,52;39,96;0,728;8327
320016;Água Doce do Norte (ES);ES;483,6;26,7;208,0451085;128,43;0,58;47,74;0,659;12751
320013;Águia Branca (ES);ES;450,4;21,3;154,3014339;170,08;0,55;43,73;0,686;9599
320080;Baixo Guandu (ES);ES;931;29,8;113,6643245;187,53;0,49;39,5;0,71;27819
320090;Barra de São Francisco (ES);ES;945,5;39,7;183,185685;185,77;0,58;42,62;0,701;37597
320100;Boa Esperança (ES);ES;394,2;34,6;197,731464;171,3;0,64;45,69;0,694;13679
320110;Bom Jesus do Norte (ES);ES;85,6;107,8;164,3994699;208,95;0,5;32,95;0,766;9226
320115;Brejetuba (ES);ES;344,7;33,9;101,1031503;186,48;0,62;45,48;0,68;11687
320120;Cachoeiro de Itapemirim (ES);ES;892,9;195,1;99,83970994;275,62;0,54;38,75;0,77;174879
320130;Cariacica (ES);ES;285,8;1133;10,50675793;215,2;0,52;43,4;0,75;324285
320140;Castelo (ES);ES;663,5;49,4;93,69465488;261,8;0,55;39,75;0,762;32756
320150;Colatina (ES);ES;1789,3;62,9;91,91936147;272,35;0,57;37,03;0,773;112711
320160;Conceição da Barra (ES);ES;1039,6;25,3;202,028721;156,97;0,61;45,36;0,688;26494
