Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
520005;Abadia de Goiás (GO);GO;136,9;36,3;21,41430839;205,27;0,53;34,4;0,742;4971
520010;Abadiânia (GO);GO;1047,7;10,9;78,64143511;168,31;0,56;40,32;0,723;11452
520013;Acreúna (GO);GO;1571,1;11,6;143,4666658;249,96;0,6;39,57;0,763;18301
520015;Adelândia (GO);GO;115,7;21,5;101,477113;164,76;0,56;40,67;0,715;2460
520030;Alexânia (GO);GO;850,8;23,6;103,6477277;168,61;0,57;41,17;0,696;20047
520050;Aloândia (GO);GO;102,5;20,8;119,0077719;226,05;0,56;33,6;0,743;2128
520055;Alto Horizonte (GO);GO;505,6;5,1;276,0611029;178,18;0,58;45,94;0,743;2564
520060;Alto Paraíso de Goiás (GO);GO;2603,4;2,4;339,0236972;203,05;0,61;44,2;0,738;6182
520080;Alvorada do Norte (GO);GO;1296,6;5,8;383,4585181;150,83;0,6;46,74;0,688;7560
520082;Amaralina (GO);GO;1418,1;2,2;305,9480666;89,31;0,62;51,33;0,648;3074
520085;Americano do Brasil (GO);GO;134;35,1;90,85456045;204,95;0,63;39,3;0,732;4933
520090;Amorinópolis (GO);GO;409,9;10,1;196,0021;177,85;0,55;38,86;0,732;4145
520110;Anápolis (GO);GO;1078,2;266,8;50,58020377;293,89;0,57;38,41;0,788;288085
520120;Anhanguera (GO);GO;55;16,1;214,4111606;190,67;0,46;27,57;0,802;895
520130;Anicuns (GO);GO;964,9;19,5;79,20122981;217,93;0,6;40,93;0,721;18754
520140;Aparecida de Goiânia (GO);GO;290,1;1157,6;15,91899083;201,68;0,47;37,7;0,764;336392
520145;Aparecida do Rio Doce (GO);GO;604,2;4;269,3834227;218,7;0,51;28,55;0,754;2402
520150;Aporé (GO);GO;2909,6;1,2;380,0134615;273,28;0,61;33,72;0,752;3427
520160;Araçu (GO);GO;154,1;26,8;57,8069466;157,9;0,5;36,38;0,733;4127
