Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
210005;Açailândia (MA);MA;6431;13,7;445,1678467;148,62;0,63;45,18;0,666;88320
210010;Afonso Cunha (MA);MA;372,6;12,6;208,6202233;49,05;0,53;61,57;0,558;4680
210020;Alcântara (MA);MA;1495,6;14,2;18,31347509;60,73;0,63;64,27;0,6;21291
210030;Aldeias Altas (MA);MA;1951,2;9,6;250,7240654;57,13;0,54;59,26;0,549;18827
210040;Altamira do Maranhão (MA);MA;220,2;48;223,0822856;52,73;0,53;61,17;0,567;8865
210043;Alto Alegre do Maranhão (MA);MA;453,4;44,3;187,686443;64,09;0,52;58,68;0,538;20162
210047;Alto Alegre do Pindaré (MA);MA;2177,2;13,8;219,3874794;60,9;0,56;58,37;0,542;30177
210050;Alto Parnaíba (MA);MA;11195,3;0,9;753,0501071;93,27;0,69;62,9;0,636;10174
210055;Amapá do Maranhão (MA);MA;951,5;5,7;209,9293686;64,65;0,56;56,97;0,572;5431
210060;Amarante do Maranhão (MA);MA;7210,2;4,3;432,38429;57,76;0,62;65,06;0,582;31292
210070;Anajatuba (MA);MA;1137,6;20,1;88,82561465;50,62;0,52;61,45;0,567;22978
210080;Anapurus (MA);MA;613,5;16,4;182,8915949;97,63;0,71;61,7;0,592;10280
210083;Apicum-Açu (MA);MA;249,6;44,5;148,3344362;45,4;0,56;64,1;0,565;11099
210087;Araguanã (MA);MA;1103,3;8,2;158,3107319;52,15;0,67;66,99;0,548;9123
210090;Araioses (MA);MA;1596,1;21,9;269,3761213;45,3;0,62;67,59;0,486;34906
210095;Arame (MA);MA;3068,9;9,9;302,6583004;65,15;0,55;57,77;0,535;29843
210100;Arari (MA);MA;1084,2;24,3;115,5156478;95,41;0,62;58,61;0,617;26366
210110;Axixá (MA);MA;199,8;50,6;43,97486776;59,37;0,57;61,05;0,619;10142
210015;Água Doce do Maranhão (MA);MA;434,8;22,3;245,6393132;49;0,58;64,18;0,529;9703
210120;Bacabal (MA);MA;1445,5;63,5;195,6389827;101,51;0,59;50,12;0,623;91823
210125;Bacabeira (MA);MA;650;16,2;49,02515796;60,61;0,54;57,56;0,602;10516
210130;Bacuri (MA);MA;801,2;19,3;130,2303683;71,78;0,71;63,86;0,594;15531
210135;Bacurituba (MA);MA;597,2;7,8;52,09692123;54,69;0,61;64,31;0,569;4671
210140;Balsas (MA);MA;12616,8;4,8;588,0784664;180,14;0,72;51,18;0,696;60163
210150;Barão de Grajaú (MA);MA;2189,3;6,8;490,484315;77,15;0,64;63,77;0,631;15349
210160;Barra do Corda (MA);MA;7950;9,8;346,7164275;97,1;0,64;57,94;0,618;78147
210170;Barreirinhas (MA);MA;2291,1;17,1;165,7138687;60,76;0,64;64,7;0,552;39669
210177;Bela Vista do Maranhão (MA);MA;252,1;39,1;174,4071818;59,32;0,61;61,78;0,569;9900
210173;Belágua (MA);MA;619,6;8,8;112,1112817;31,93;0,69;76,9;0,495;5253
210180;Benedito Leite (MA);MA;1807,8;2,9;522,2494267;70;0,57;60,36;0,595;5288
210190;Bequimão (MA);MA;775,6;25,4;54,04206251;51,37;0,61;66,12;0,577;19700
210193;Bernardo do Mearim (MA);MA;259,8;18,8;233,8962775;68,54;0,51;52,65;0,579;5239
210197;Boa Vista do Gurupi (MA);MA;437,5;11,8;236,8923707;62,77;0,53;55,59;0,621;5128
210200;Bom Jardim (MA);MA;6771,8;5,1;220,0777873;53,78;0,67;68,66;0,515;34474
