Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
310010;Abadia dos Dourados (MG);MG;897,4;7,2;390,8765127;196,36;0,52;35,22;0,76;6446
310020;Abaeté (MG);MG;1822,4;12,3;172,3115491;253,68;0,58;31,68;0,778;22360
310030;Abre Campo (MG);MG;472,4;28,2;163,3776767;161,48;0,52;42,99;0,719;13348
310040;Acaiaca (MG);MG;101,2;38,3;104,1346558;136,2;0,56;40,88;0,678;3889
310050;Açucena (MG);MG;814;14,1;169,2990246;90,49;0,56;52,01;0,659;11489
310080;Aguanil (MG);MG;235,8;15,1;195,0883319;196,55;0,49;30,44;0,741;3562
310110;Aimorés (MG);MG;1353,4;18,5;304,7229042;179,09;0,57;39,29;0,731;25105
310120;Aiuruoca (MG);MG;651,8;9,9;249,1312232;207,12;0,61;35,8;0,736;6469
310130;Alagoa (MG);MG;162;17,3;271,0832386;157,73;0,55;40,41;0,726;2800
310140;Albertina (MG);MG;57,7;49,2;382,488279;214,7;0,47;28,7;0,747;2841
310150;Além Paraíba (MG);MG;512,5;65,5;264,3092817;294,34;0,57;33,82;0,777;33610
310160;Alfenas (MG);MG;849,2;78,6;273,7813461;357,09;0,58;32,32;0,829;66957
310163;Alfredo Vasconcelos (MG);MG;122,9;41,5;148,7390286;144,49;0,52;41,89;0,72;5101
310170;Almenara (MG);MG;2308,6;15,3;530,8081803;162,67;0,68;47,96;0,668;35385
310180;Alpercata (MG);MG;167,9;41,5;228,262939;148,05;0,54;41,92;0,702;6966
310190;Alpinópolis (MG);MG;461,5;36,9;278,8182473;239,83;0,49;30,37;0,779;17031
310200;Alterosa (MG);MG;367,1;35,3;277,6844856;197,74;0,5;34,92;0,736;12976
310205;Alto Caparaó (MG);MG;130,3;35,9;228,4833551;264,04;0,58;32,65;0,758;4673
315350;Alto Jequitibá (MG);MG;153,2;54,9;218,3119484;192,34;0,5;36,48;0,735;8458
310210;Alto Rio Doce (MG);MG;520,4;26,6;145,8396523;123,95;0,59;51,81;0,696;13858
310220;Alvarenga (MG);MG;368,4;14,1;237,2984917;115,34;0,56;48,47;0,657;5212
310230;Alvinópolis (MG);MG;601,1;25,9;100,0613136;161,21;0,55;39,13;0,727;15588
310240;Alvorada de Minas (MG);MG;376,1;9,3;135,1724919;99,62;0,65;57,21;0,667;3527
