Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
500025;Alcinópolis (MS);MS;4413,7;0,8;255,2450116;192,47;0,53;42,67;0,745;3679
500060;Amambai (MS);MS;4212,3;7;301,6853053;229,54;0,63;43,23;0,759;29484
500070;Anastácio (MS);MS;2957,5;7,6;120,9547127;165,71;0,59;44,51;0,725;22477
500080;Anaurilândia (MS);MS;3405,4;2,3;278,258254;183,74;0,54;42,13;0,72;7955
500085;Angélica (MS);MS;1276,5;5,8;210,5025858;160,18;0,51;38,2;0,729;7356
500090;Antônio João (MS);MS;1146,7;6,5;236,4143793;142,26;0,56;42,31;0,702;7408
500100;Aparecida do Taboado (MS);MS;2757,5;6,7;372,3659818;224,05;0,54;46,79;0,763;18402
500110;Aquidauana (MS);MS;17008,5;2,6;118,832506;244,08;0,66;46,98;0,757;43440
500124;Aral Moreira (MS);MS;1660,3;4,9;295,0317885;148,64;0,61;47,81;0,723;8055
500020;Água Clara (MS);MS;11063,4;1;184,0840766;250,69;0,58;33,73;0,758;11015
500150;Bandeirantes (MS);MS;3124,6;2,1;65,33290123;190,66;0,53;40,06;0,733;6425
500190;Bataguassu (MS);MS;2423;6,7;270,4014482;215,06;0,53;40,13;0,738;16197
500200;Bataiporã (MS);MS;1833,1;5,8;250,1877681;146,53;0,48;37,15;0,704;10625
500210;Bela Vista (MS);MS;4908,2;4,4;268,2561236;223,19;0,68;46,83;0,755;21764
500215;Bodoquena (MS);MS;2514,3;3,3;215,622969;167,48;0,59;47,71;0,708;8367
500220;Bonito (MS);MS;4947,9;3,4;205,0797394;231,92;0,6;40,65;0,767;16956
500230;Brasilândia (MS);MS;5821,4;2;285,5873576;266,36;0,59;31,74;0,757;11956
500240;Caarapó (MS);MS;2094,9;9,9;244,1424802;169,18;0,57;40,82;0,715;20706
500260;Camapuã (MS);MS;10791,1;1,5;119,2560342;220,08;0,58;42,12;0,761;16446
500270;Campo Grande (MS);MS;8118,4;81,6;0;394,71;0,61;38,35;0,814;663621
500280;Caracol (MS);MS;2946,3;1,6;301,8904677;148,37;0,56;41,84;0,725;4592
500290;Cassilândia (MS);MS;3660,9;5,5;338,4524565;241,58;0,55;36,2;0,775;20087
500295;Chapadão do Sul (MS);MS;3862,4;3;280,0131984;451,52;0,65;37,16;0,826;11658
500310;Corguinho (MS);MS;2648,5;1,3;70,52753474;170,12;0,54;39,72;0,723;3592
500315;Coronel Sapucaia (MS);MS;1031,3;12,4;327,2791606;153,57;0,56;46,77;0,713;12810
500320;Corumbá (MS);MS;65165,8;1,5;352,576825;226,18;0,62;46,14;0,771;95701
500325;Costa Rica (MS);MS;5740,8;2,7;264,151607;346,15;0,76;40,11;0,798;15488
500330;Coxim (MS);MS;6430,7;4,8;215,4595295;299,93;0,68;34,87;0,78;30866
500345;Deodápolis (MS);MS;833,3;13,6;209,6765101;178,56;0,59;39,84;0,739;11350
500348;Dois Irmãos do Buriti (MS);MS;2351,2;4;72,5735487;132,22;0,62;51,53;0,686;9335
500350;Douradina (MS);MS;281,4;19;177,4915474;187,94;0,63;46,16;0,713;4732
500370;Dourados (MS);MS;4096,9;40,2;198,264169;308,07;0,62;39,49;0,788;164949
500375;Eldorado (MS);MS;1020,4;10,8;373,4485094;164,03;0,54;43,82;0,708;11059
500380;Fátima do Sul (MS);MS;316;60,5;215,0067599;217,51;0,59;42,1;0,751;19111
500400;Glória de Dourados (MS);MS;493;20,4;223,5805664;205,09;0,56;39,21;0,745;10035
500410;Guia Lopes da Laguna (MS);MS;1213,7;9,1;189,5449622;240;0,7;44,17;0,755;11115
500430;Iguatemi (MS);MS;2953,5;4,6;359,8018972;200,71;0,59;41,62;0,731;13617
500440;Inocência (MS);MS;5793,2;1,4;294,4275797;272,09;0,6;40,02;0,772;7872
500450;Itaporã (MS);MS;1325,4;12,9;182,3944133;188,73;0,58;42,36;0,712;17045
500460;Itaquiraí (MS);MS;2067,1;7,6;340,1379786;138,07;0,55;42,52;0,71;15770
500470;Ivinhema (MS);MS;2014,9;10,7;224,0605121;199,19;0,55;36,73;0,738;21643
500480;Japorã (MS);MS;458,8;13,4;383,9498803;88,74;0,56;55,9;0,636;6140
500490;Jaraguari (MS);MS;2921,3;1,8;42,20683759;174,68;0,55;41,32;0,734;5389
500500;Jardim (MS);MS;2207,6;10,2;192,9925926;292,02;0,64;45,18;0,773;22542
500510;Jateí (MS);MS;1932,8;2,1;229,3330438;159,68;0,51;39,09;0,715;4054
500515;Juti (MS);MS;1616,8;3,1;268,7248513;152,03;0,61;50,63;0,71;4981
500520;Ladário (MS);MS;341,1;44,9;348,0341022;219,67;0,6;47,04;0,775;15313
500525;Laguna Carapã (MS);MS;1721,1;3,2;239,4238934;235,34;0,68;45,64;0,752;5531
500540;Maracaju (MS);MS;5312,9;4,9;140,9353694;246,65;0,59;41,09;0,781;26219
500560;Miranda (MS);MS;5494,5;4,2;181,8466408;248,19;0,8;53,55;0,724;23007
500568;Mundo Novo (MS);MS;443;35,5;390,2754301;222,3;0,54;39,11;0,761;15669
500570;Naviraí (MS);MS;3172,9;11,5;295,1156766;224,17;0,53;32,1;0,751;36662
