Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
510010;Acorizal (MT);MT;844,1;6,9;52,13629688;124,33;0,59;49,45;0,695;5817
510025;Alta Floresta (MT);MT;8982,8;5,2;635,6075171;264,66;0,59;34,13;0,779;46982
510030;Alto Araguaia (MT);MT;5556,5;2;361,670369;233,35;0,59;37,93;0,786;11410
510035;Alto Boa Vista (MT);MT;6142,9;1;669,6232508;172;0,58;49,88;0,708;6206
510040;Alto Garças (MT);MT;3672,2;2,3;312,2927673;325,45;0,69;38,78;0,795;8335
510050;Alto Paraguai (MT);MT;2059,9;4,2;127,1662673;125,42;0,55;50,91;0,704;8605
510060;Alto Taquari (MT);MT;1399,2;3,2;388,7715338;409,13;0,7;38,38;0,804;4476
510080;Apiacás (MT);MT;20450;0,3;688,2820401;201,76;0,57;41,17;0,713;6665
510100;Araguaiana (MT);MT;6438,1;0,5;456,6803668;185,9;0,53;37,85;0,737;3426
510120;Araguainha (MT);MT;691,1;1,9;355,6201279;139,64;0,48;45,05;0,731;1352
510125;Araputanga (MT);MT;1608,5;8,5;241,928036;249,03;0,6;37,52;0,754;13675
510130;Arenápolis (MT);MT;416,2;27,8;150,5912845;177,34;0,58;47,29;0,721;11605
510140;Aripuanã (MT);MT;65936,9;0,4;704,5907788;197,36;0,58;58,49;0,704;27560
510020;Água Boa (MT);MT;11566,2;1,4;456,5601411;343,93;0,68;41,75;0,777;16737
510160;Barão de Melgaço (MT);MT;11219,8;0,7;77,334487;116,3;0,57;48,87;0,672;7682
510170;Barra do Bugres (MT);MT;7186,7;3,8;129,8913865;184,57;0,57;49,17;0,715;27460
510180;Barra do Garças (MT);MT;8761,3;6;411,9856806;290,36;0,6;42,61;0,791;52092
510190;Brasnorte (MT);MT;16020,9;0,6;432,9048043;260,4;0,6;54,83;0,757;9815
510260;Campinápolis (MT);MT;5774;2,2;363,939034;145,54;0,62;55,48;0,673;12419
510263;Campo Novo do Parecis (MT);MT;10796,1;1,6;287,760269;514,43;0,7;49,9;0,809;17638
510267;Campo Verde (MT);MT;4811,7;3,6;99,48352196;342,01;0,61;32,01;0,8;17221
510268;Campos de Júlio (MT);MT;6489,5;0,4;378,2049533;413,17;0,66;48,94;0,81;2895
510269;CanaBrava do Norte (MT);MT;3463,7;1,5;683,6441777;124,88;0,59;54,99;0,693;4989
510270;Canarana (MT);MT;10874,4;1,4;479,9864941;308,69;0,62;42,91;0,761;15408
