Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
150010;Abaetetuba (PA);PA;1613,9;73,8;51,18455171;102,14;0,59;51,04;0,706;119152
150013;Abel Figueiredo (PA);PA;616,9;9,6;388,8927371;194,77;0,61;42,47;0,704;5957
150020;Acará (PA);PA;4363,6;11,8;65,66332785;81,8;0,51;48,26;0,629;52126
150030;Afuá (PA);PA;8410,3;3,5;254,1767807;75,02;0,48;48,88;0,612;29505
150040;Alenquer (PA);PA;24496,8;1,7;694,5179787;87,66;0,58;52,38;0,673;41784
150050;Almeirim (PA);PA;73287,8;0,5;453,0553296;251,08;0,72;59,24;0,745;33957
150060;Altamira (PA);PA;161445,9;0,5;454,548687;205;0,58;40,86;0,737;77439
150070;Anajás (PA);PA;7022,2;2,6;167,8282971;89,82;0,56;46,99;0,595;18322
150080;Ananindeua (PA);PA;191,4;2053;17,74911361;187,79;0,54;44,05;0,782;393569
150085;Anapu (PA);PA;11951,7;0,8;373,6627696;112,91;0,64;66,1;0,645;9407
150090;Augusto Corrêa (PA);PA;889,2;37;212,0792816;69,31;0,49;50,73;0,618;33011
150095;Aurora do Pará (PA);PA;1824;10,8;128,8362402;85,86;0,58;53,71;0,618;19728
150100;Aveiro (PA);PA;17157,9;0,9;794,7027576;56,22;0,64;67,93;0,635;15518
150034;Água Azul do Norte (PA);PA;7658,7;2,8;631,4594277;135,96;0,65;69,32;0,665;22084
150110;Bagre (PA);PA;4417,6;3,1;190,8664868;59,01;0,56;60,6;0,571;13708
150120;Baião (PA);PA;3202,3;6,6;197,0466245;81,2;0,67;64,39;0,677;21119
150125;Bannach (PA);PA;2969,3;1,3;687,428281;163,93;0,61;50,94;0,7;3780
150130;Barcarena (PA);PA;1316,2;48,1;14,64680334;175,26;0,61;48,19;0,768;63268
150140;Belém (PA);PA;1070,1;1196;0;313,93;0,65;43,23;0,806;1280614
150145;Belterra (PA);PA;2640,6;5,5;726,3000624;66,32;0,65;66,94;0,647;14594
150150;Benevides (PA);PA;177,7;198,9;30,64685857;137,8;0,59;47,19;0,711;35546
150157;Bom Jesus do Tocantins (PA);PA;2828,5;4,6;399,646148;107,8;0,59;49,71;0,618;13106
150160;Bonito (PA);PA;564,8;17,3;133,3713476;82,3;0,51;50,2;0,612;9814
150170;Bragança (PA);PA;2344,1;40;197,1981005;105,28;0,57;48,08;0,662;93779
150172;Brasil Novo (PA);PA;6396,6;2,7;503,9718071;148,57;0,55;48,96;0,674;17193
150175;Brejo Grande do Araguaia (PA);PA;1162,3;6,4;471,5901111;113,77;0,58;48,69;0,68;7464
150178;Breu Branco (PA);PA;3989;8,2;302,920218;132,32;0,62;47,28;0,665;32446
150180;Breves (PA);PA;9600,3;8,4;220,9226391;84,95;0,59;54,65;0,63;80158
150190;Bujaru (PA);PA;999;21,1;51,40671003;70,54;0,52;52,17;0,659;21032
150200;Cachoeira do Arari (PA);PA;3116;5,1;71,03056962;114,07;0,74;58,23;0,68;15783
150195;Cachoeira do Piriá (PA);PA;2410,8;6,4;220,6771933;52,24;0,56;60,85;0,551;15437
150210;Cametá (PA);PA;3122;31,2;140,7310496;71,06;0,61;58,93;0,671;97624
150215;Canaã dos Carajás (PA);PA;3161,5;3,4;580,4810098;167,46;0,62;49,04;0,7;10922
150220;Capanema (PA);PA;613,4;93,1;149,7850052;143,07;0,6;49,44;0,729;57119
150230;Capitão Poço (PA);PA;2727;18,3;163,0332304;92,98;0,65;56,66;0,615;49769
150240;Castanhal (PA);PA;1029,4;130,6;67,02381438;162,25;0,57;42,05;0,746;134496
150250;Chaves (PA);PA;13143,9;1,3;218,9188117;62,88;0,53;54,92;0,581;17350
