Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
250020;Aguiar (PB);PB;385,9;14,6;364,7716956;60,38;0,53;61,35;0,56;5638
250030;Alagoa Grande (PB);PB;333,7;87,4;85,17547031;93,48;0,56;50,27;0,609;29169
250040;Alagoa Nova (PB);PB;119,6;155,3;98,81231213;82,87;0,61;58,21;0,612;18575
250050;Alagoinha (PB);PB;94,7;124,9;77,41615884;83,42;0,54;51,43;0,573;11833
250053;Alcantil (PB);PB;252,9;19,4;148,8791358;68,8;0,49;52,77;0,606;4958
250057;Algodão de Jandaíra (PB);PB;454,6;4,9;121,4407649;56,19;0,51;60,06;0,552;2209
250060;Alhandra (PB);PB;225,4;70,6;36,43910322;81,51;0,54;52,42;0,605;15914
250073;Amparo (PB);PB;126,5;14,9;247,7371137;75,58;0,5;51,54;0,603;1886
250077;Aparecida (PB);PB;223,7;26,3;357,5146849;97,8;0,59;51,87;0,628;5894
250080;Araçagi (PB);PB;236,6;76,4;64,12311618;65,29;0,53;58,18;0,56;18095
250090;Arara (PB);PB;39,2;293,4;103,7405814;75,98;0,53;57,02;0,551;11530
250100;Araruna (PB);PB;306,2;54,2;115,0473313;68,25;0,55;60,21;0,546;16605
250110;Areia (PB);PB;264,6;98,8;92,97125142;90,66;0,61;56;0,611;26131
250115;Areia de Baraúnas (PB);PB;101,1;20,5;229,1288024;58,11;0,48;54,86;0,571;2104
250120;Areial (PB);PB;64,7;93,2;114,8420681;86,96;0,54;52,64;0,599;6039
250130;Aroeiras (PB);PB;386,8;50,4;104,6711869;74,99;0,54;53,56;0,559;19520
250135;Assunção (PB);PB;147,7;20,2;206,0331796;82,45;0,51;54,32;0,611;2960
250010;Água Branca (PB);PB;316,4;26,5;309,3405873;70,47;0,68;66,23;0,563;8377
250140;Baía da Traição (PB);PB;94,9;67,1;48,12676712;72,46;0,58;59,65;0,594;6483
250150;Bananeiras (PB);PB;273,8;79,6;94,12363559;72,94;0,59;60,55;0,599;21810
250153;Baraúna (PB);PB;56,5;56,1;162,1703204;76,99;0,54;57,61;0,592;3169
250160;Barra de Santa Rosa (PB);PB;801,9;16,3;139,2508566;68,17;0,5;55,59;0,575;13127
250157;Barra de Santana (PB);PB;351,2;23,7;133,1501318;61,78;0,53;59,41;0,575;8311
250170;Barra de São Miguel (PB);PB;582,2;8,9;175,2058557;89,69;0,55;50,58;0,613;5162
250180;Bayeux (PB);PB;27,5;3174,5;7,688874825;114,37;0,48;45,19;0,689;87561
250190;Belém (PB);PB;102,7;169,1;83,11685156;84,6;0,57;54,99;0,595;16605
250200;Belém do Brejo do Cruz (PB);PB;596,9;11,7;312,4498635;73,53;0,49;50,28;0,57;7011
250205;Bernardino Batista (PB);PB;42,1;60,8;413,5534731;57,98;0,63;66,21;0,552;2559
250210;Boa Ventura (PB);PB;195;31,6;371,0837098;66,01;0,52;57,32;0,6;6588
250215;Boa Vista (PB);PB;448,2;11,1;152,6509062;116,3;0,56;46,83;0,688;4983
250220;Bom Jesus (PB);PB;47,1;46,3;419,0140268;76,41;0,54;54,88;0,58;2193
250230;Bom Sucesso (PB);PB;198,6;26,6;346,4039637;80,07;0,54;56,03;0,635;5285
250240;Bonito de Santa Fé (PB);PB;219,7;42;403,1973261;86,63;0,56;52,64;0,574;9230
250250;Boqueirão (PB);PB;396,4;40;146,0098993;91,04;0,49;47,89;0,608;15867
250270;Borborema (PB);PB;49,8;94,7;91,10619355;85,59;0,6;56,46;0,6;4730
250280;Brejo do Cruz (PB);PB;409,3;29;302,981793;102,57;0,54;49,74;0,635;11868
250290;Brejo dos Santos (PB);PB;120,6;49,2;336,9863861;90,69;0,53;49,93;0,613;5948
250300;Caaporã (PB);PB;144,1;128;44,83429115;82,02;0,55;54,77;0,617;18441
