Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
260005;Abreu e Lima (PE);PE;129,1;690,1;15,96368059;129,6;0,48;45,63;0,73;89039
260010;Afogados da Ingazeira (PE);PE;386;85,3;305,419164;140,66;0,66;55,8;0,683;32922
260020;Afrânio (PE);PE;1488,6;10,1;675,3347901;71,18;0,57;59,48;0,634;15014
260030;Agrestina (PE);PE;198;101,2;125,3226104;108,04;0,63;53,36;0,612;20036
260060;Alagoinha (PE);PE;180,1;69,5;213,3570114;92,26;0,56;55,43;0,63;12535
260070;Aliança (PE);PE;266,4;139,6;63,21425563;74,77;0,54;53,27;0,578;37189
260080;Altinho (PE);PE;452,6;48,8;138,300789;83,88;0,58;58,65;0,59;22131
260090;Amaraji (PE);PE;238,8;89,3;72,7592718;79,13;0,52;53,16;0,617;21309
260100;Angelim (PE);PE;126,7;71,5;180,2075972;84,65;0,62;59,44;0,602;9082
260105;Araçoiaba (PE);PE;96,9;155,8;37,34660512;75,41;0,56;55,61;0,637;15108
260110;Araripina (PE);PE;1914,4;36,9;620,6345726;114,79;0,68;58,61;0,65;70898
260120;Arcoverde (PE);PE;380,6;161,8;242,3897977;170,86;0,61;50,51;0,708;61600
260040;Água Preta (PE);PE;532;54;101,8388821;65,5;0,6;61,27;0,597;28531
260050;Águas Belas (PE);PE;887,5;40,9;272,9055073;65,4;0,66;67,04;0,532;36641
260130;Barra de Guabiraba (PE);PE;118,1;92;94,63423694;76,45;0,55;55,89;0,554;10939
260140;Barreiros (PE);PE;229,8;170,4;91,27528644;93,22;0,59;54,91;0,635;39139
260150;Belém de Maria (PE);PE;63,8;166,7;119,5087316;70,96;0,57;59,33;0,59;10626
260160;Belém de São Francisco (PE);PE;1842,7;11;455,5902782;114,21;0,63;52,22;0,669;20208
260170;Belo Jardim (PE);PE;653,6;105;172,5758402;117,37;0,56;49,12;0,625;68698
260180;Betânia (PE);PE;1232,6;9,2;347,6849324;59,45;0,52;58,89;0,593;11305
260190;Bezerros (PE);PE;545,7;105,2;102,7039691;116,26;0,56;50,61;0,619;57371
260200;Bodocó (PE);PE;1604,9;19,8;557,7492192;76,26;0,66;62,94;0,611;31731
