Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
220005;Acauã (PI);PI;994,9;5,2;395,8402898;39,59;0,67;73,66;0,532;5147
220010;Agricolândia (PI);PI;99,2;53,8;80,25522694;66,68;0,49;55,66;0,622;5340
220025;Alagoinha do Piauí (PI);PI;429,4;17;296,3897532;96,08;0,55;52,74;0,576;6868
220027;Alegrete do Piauí (PI);PI;263,7;17,9;321,5727831;97,91;0,56;51,4;0,566;4713
220030;Alto Longá (PI);PI;1667;7,2;67,94349369;64,22;0,57;60,76;0,58;12000
220040;Altos (PI);PI;1311,8;29,8;38,1507517;77,96;0,55;54,94;0,618;39122
220045;Alvorada do Gurguéia (PI);PI;2342,1;1,8;385,8827513;73,46;0,6;57,7;0,574;4211
220050;Amarante (PI);PI;1336,8;12,6;128,1443208;78,48;0,57;57,3;0,63;16884
220060;Angical do Piauí (PI);PI;212,3;32;111,0055025;74,06;0,55;57,8;0,648;6788
220070;Anísio de Abreu (PI);PI;354,9;20,2;456,3852792;88,09;0,55;55,75;0,635;7166
220080;Antônio Almeida (PI);PI;604,5;4,7;282,4960059;81;0,53;53,62;0,643;2851
220090;Aroazes (PI);PI;869,3;6,9;159,8446582;72,54;0,55;59,47;0,582;6025
220100;Arraial (PI);PI;658;7,5;176,5545516;59,79;0,58;64,2;0,615;4909
220105;Assunção do Piauí (PI);PI;1631,2;4,2;213,2672405;74,22;0,56;59,01;0,563;6933
220110;Avelino Lopes (PI);PI;1198,9;8;574,9742299;63,35;0,51;56,65;0,574;9625
220020;Água Branca (PI);PI;90,2;160,9;90,83680524;102,1;0,56;51,81;0,653;14517
220115;Baixa Grande do Ribeiro (PI);PI;8001,1;1;406,2471915;66,09;0,67;65,32;0,576;7779
220117;Barra d'Alcântara (PI);PI;316,9;13;175,9652473;64,85;0,59;63,92;0,588;4107
220120;Barras (PI);PI;1775,7;23;109,0618652;75,3;0,6;57,16;0,581;40891
