Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
410010;Abatiá (PR);PR;247,2;33,3;258,4276561;148,92;0,47;36,93;0,71;8259
410020;Adrianópolis (PR);PR;1333;5,3;90,25479778;115,6;0,59;58,81;0,683;7007
410030;Agudos do Sul (PR);PR;191,7;37,6;63,08891241;153,99;0,56;46,01;0,712;7221
410040;Almirante Tamandaré (PR);PR;266,6;330,6;12,03309985;197,65;0,48;43,82;0,728;88277
410045;Altamira do Paraná (PR);PR;386,3;18,1;353,1160476;122,75;0,62;52,04;0,677;6999
410050;Altãnia (PR);PR;889,2;21,6;498,3267012;185,52;0,53;35,68;0,743;19230
410060;Alto Paraná (PR);PR;408,5;31,1;400,540372;198,72;0,51;32,63;0,743;12717
410070;Alto Piquiri (PR);PR;451;23,9;448,491218;221,78;0,65;41,8;0,75;10761
410080;Alvorada do Sul (PR);PR;419,9;22,1;354,9808114;214,32;0,52;31,11;0,757;9253
410090;Amaporã (PR);PR;390;12;440,3561255;172,02;0,54;38,8;0,709;4655
410100;Ampére (PR);PR;303;51,6;424,0839294;234,61;0,58;38,19;0,793;15623
410105;Anahy (PR);PR;107,4;27,8;391,6105888;152,14;0,55;45,98;0,725;3011
410110;Andirá (PR);PR;235;92,2;281,3298652;237,67;0,53;33,5;0,742;21663
410120;Antonina (PR);PR;880;21,8;56,29916525;196,8;0,59;43,53;0,77;19174
410130;Antônio Olinto (PR);PR;467,4;15,8;111,3689118;127,93;0,56;48,05;0,711;7407
410140;Apucarana (PR);PR;556,8;193,6;304,054759;288,47;0,51;33,34;0,799;107827
410150;Arapongas (PR);PR;370,9;230,3;311,7535408;304,07;0,5;31,82;0,774;85428
410160;Arapoti (PR);PR;1327,2;18;151,7847301;331;0,72;41,7;0,761;23884
410165;Arapuã (PR);PR;223,7;18,7;281,953581;120,7;0,52;48,59;0,687;4172
410170;Araruna (PR);PR;495,7;26,3;365,4053344;188,29;0,52;36,23;0,732;13081
410180;Araucária (PR);PR;470,5;200,1;22,91138778;242,06;0,48;46,08;0,801;94258
410185;Ariranha do Ivaí (PR);PR;235,1;12,3;260,1899987;140,41;0,58;51,16;0,688;2883
410190;Assaí (PR);PR;438;41,2;278,059465;200,29;0,55;37,15;0,748;18045
410200;Assis Chateaubriand (PR);PR;986,6;33,7;442,4614568;347,6;0,68;40,94;0,787;33317
410210;Astorga (PR);PR;435,8;54,3;343,7793237;268,79;0,55;31,8;0,75;23637
410220;Atalaia (PR);PR;137,2;29,3;378,5993353;231,46;0,5;31,49;0,765;4015
410115;Ângulo (PR);PR;105,7;26,8;364,8730617;205,51;0,51;35,37;0,742;2840
410230;Balsa Nova (PR);PR;346,9;29,3;40,32171931;205,89;0,49;43,61;0,781;10153
410240;Bandeirantes (PR);PR;445,4;75,7;280,4401924;230,81;0,53;34,13;0,756;33732
410250;Barbosa Ferraz (PR);PR;507,4;27,8;317,0907055;158,5;0,6;41,91;0,7;14110
410270;Barra do Jacaré (PR);PR;115,4;23,6;272,9793506;197,74;0,53;38,8;0,789;2723
410260;Barracão (PR);PR;177,6;52,2;445,568035;235,19;0,57;43,28;0,764;9271
410275;Bela Vista da Caroba (PR);PR;148;30,4;442,7771792;136,76;0,53;43,21;0,738;4503
410280;Bela Vista do Paraíso (PR);PR;247,9;60,6;332,784229;258,67;0,58;34,47;0,771;15031
410290;Bituruna (PR);PR;1217,7;12,9;242,2101043;161,79;0,53;41,82;0,715;15733
410300;Boa Esperança (PR);PR;310,7;16,6;378,2476682;181,61;0,54;44,92;0,722;5162
410302;Boa Esperança do Iguaçu (PR);PR;152,3;20,4;395,6187047;186,63;0,53;45,76;0,741;3107
410304;Boa Ventura de São Roque (PR);PR;624;10,9;244,8864191;168,22;0,65;48,72;0,711;6780
410305;Boa Vista da Aparecida (PR);PR;263,4;31,9;414,9397826;176,94;0,63;49,23;0,697;8423
410310;Bocaiúva do Sul (PR);PR;813,8;11,1;29,33293054;185,81;0,55;44,59;0,719;9050
410315;Bom Jesus do Sul (PR);PR;162,3;25,6;440,7988089;110,78;0,56;53,39;0,696;4154
410320;Bom Sucesso (PR);PR;323,7;19,1;315,9230353;175,4;0,53;37;0,735;6173
410322;Bom Sucesso do Sul (PR);PR;190,9;17,7;363,586165;200,03;0,54;45,11;0,776;3392
410330;Borrazópolis (PR);PR;340,3;27,8;286,2325672;165,85;0,49;36,78;0,727;9453
410335;Braganey (PR);PR;356,3;17,4;393,1529639;135,37;0,55;48,43;0,704;6191
410337;Brasilândia do Sul (PR);PR;292,1;13,3;450,1225129;160,13;0,57;40,62;0,707;3889
410340;Cafeara (PR);PR;180,3;13,8;383,5494933;171,66;0,47;32,37;0,699;2485
410345;Cafelândia (PR);PR;256;43,5;417,2944402;263,55;0,53;39,25;0,787;11143
410347;Cafezal do Sul (PR);PR;434,1;10,7;460,4831525;182,06;0,58;36,03;0,73;4648
410350;Califórnia (PR);PR;137,7;55,8;288,6511629;209,26;0,52;34,52;0,745;7678
410360;Cambará (PR);PR;361,3;62,9;276,848903;246,63;0,52;29,81;0,769;22740
410370;Cambé (PR);PR;496,9;177,7;313,6445694;265,45;0,5;36,18;0,793;88186
410380;Cambira (PR);PR;166,9;39,9;310,3862742;206,02;0,52;36,61;0,767;6688
410390;Campina da Lagoa (PR);PR;846,1;20,1;367,0070203;188,27;0,62;45,22;0,71;17018
410395;Campina do Simão (PR);PR;445,6;9,8;259,5860614;129,93;0,57;49,76;0,701;4365
410400;Campina Grande do Sul (PR);PR;541,7;64,8;25,74663801;212,54;0,5;46,52;0,761;34566
410405;Campo Bonito (PR);PR;438,2;11,7;376,5145446;132,05;0,56;50,22;0,687;5128
410410;Campo do Tenente (PR);PR;306,1;20,7;73,62304343;148,86;0,53;43,65;0,687;6335
410420;Campo Largo (PR);PR;1254,8;73,9;25,81814151;267,31;0,5;43,16;0,774;92782
410425;Campo Magro (PR);PR;268,8;75,8;19,03244058;223,68;0,5;40;0,74;20409
410430;Campo Mourão (PR);PR;768,2;104,7;349,4088729;283,08;0,57;39,92;0,774;80476
410442;Candói (PR);PR;1526,3;9,3;287,2176566;178,83;0,64;49,33;0,712;14185
410445;Cantagalo (PR);PR;593,4;21,6;286,4352188;150,73;0,64;52,13;0,686;12810
410450;Capanema (PR);PR;419;43,5;455,5347598;233,22;0,51;32,6;0,803;18239
410460;Capitão Leônidas Marques (PR);PR;220,8;65,2;435,5677845;244,61;0,65;48,96;0,751;14377
410465;Carambeí (PR);PR;647,8;22,9;100,3915172;276,06;0,57;37,19;0,785;14860
410470;Carlópolis (PR);PR;452,4;29,4;227,1409232;204,96;0,58;34,95;0,727;13305
410480;Cascavel (PR);PR;2065,8;118,6;423,7437588;347,01;0,59;42,78;0,81;245369
410490;Castro (PR);PR;2539,3;25;102,660678;230,78;0,64;47,71;0,736;63581
410500;Catanduvas (PR);PR;568,9;18,2;390,9293905;181,05;0,63;49,02;0,717;10421
410440;Cândido de Abreu (PR);PR;1470;12,8;228,4578056;108,75;0,59;55,18;0,667;18795
410510;Centenário do Sul (PR);PR;394,4;29,9;373,3052217;174,26;0,51;33,86;0,738;11817
410520;Cerro Azul (PR);PR;1346,4;12,1;67,12733686;123,8;0,62;55,95;0,684;16352
410530;Céu Azul (PR);PR;1181,4;8,8;460,7959954;256,81;0,55;34,94;0,78;10445
410540;Chopinzinho (PR);PR;983;20,9;329,0193391;223,34;0,58;47,29;0,773;20543
410550;Cianorte (PR);PR;813,7;70,5;389,7114426;312,63;0,55;33,25;0,818;57401
410560;Cidade Gaúcha (PR);PR;401,6;23,7;435,6918055;224,45;0,53;31,64;0,749;9531
410570;Clevelândia (PR);PR;703,6;26;337,2357507;194,55;0,56;37,87;0,73;18338
410580;Colombo (PR);PR;159,1;1152,4;15,89309231;236,16;0,47;41,51;0,764;183329
410590;Colorado (PR);PR;418,9;50;397,2075247;281,73;0,53;32,18;0,782;20957
410600;Congonhinhas (PR);PR;539,4;14,5;245,5202153;146,37;0,52;36,41;0,692;7851
410610;Conselheiro Mairinck (PR);PR;193,3;17,9;219,3645474;203,58;0,62;41,25;0,707;3463
