Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
330010;Angra dos Reis (RJ);RJ;816,3;146;114,1619671;275,66;0,55;48,27;0,772;119247
330015;Aperibé (RJ);RJ;89,5;89,4;182,2244447;240,16;0,56;34,89;0,756;8018
330020;Araruama (RJ);RJ;635,4;130,2;88,61366489;259,36;0,58;41,13;0,756;82803
330022;Areal (RJ);RJ;111,8;88;75,40256388;246,75;0,53;38,63;0,765;9899
330023;Armação de Búzios (RJ);RJ;69,5;261,6;136,9084448;376,18;0,59;43,8;0,791;18204
330025;Arraial do Cabo (RJ);RJ;158,1;150,9;120,9589766;303,3;0,52;41,04;0,79;23877
330030;Barra do Piraí (RJ);RJ;579,8;152,6;79,55732479;274,57;0,53;39,6;0,781;88503
330040;Barra Mansa (RJ);RJ;548,9;310,8;106,4588371;286,41;0,55;37,46;0,806;170753
330045;Belford Roxo (RJ);RJ;80;5414;24,92370652;182,33;0,49;49,45;0,742;434474
330050;Bom Jardim (RJ);RJ;386;58,6;116,2854619;242,71;0,54;36,09;0,733;22651
330060;Bom Jesus do Itabapoana (RJ);RJ;600,5;56;251,8217105;242,49;0,54;35,33;0,746;33655
330070;Cabo Frio (RJ);RJ;404;314,1;121,7455188;311,03;0,6;44,86;0,792;126828
330080;Cachoeiras de Macacu (RJ);RJ;958,2;50,6;75,02168959;219,2;0,51;38,59;0,752;48543
330090;Cambuci (RJ);RJ;563,2;26;198,9242693;199,09;0,54;33,46;0,733;14670
330100;Campos dos Goytacazes (RJ);RJ;4037,8;100,6;231,9494839;247,2;0,58;38,29;0,752;406989
330110;Cantagalo (RJ);RJ;719,3;27,5;133,9369233;254,14;0,57;39,4;0,779;19835
330093;Carapebus (RJ);RJ;306,4;28,2;177,5834925;203,22;0,46;40,01;0,74;8666
330115;Cardoso Moreira (RJ);RJ;516,3;24,4;227,0443846;166,05;0,52;36,71;0,706;12595
330120;Carmo (RJ);RJ;354,7;43,1;124,0153832;270,97;0,6;44,28;0,763;15289
330130;Casimiro de Abreu (RJ);RJ;462,9;47,6;113,1065025;286,86;0,52;36,1;0,781;22152
330095;Comendador Levy Gasparian (RJ);RJ;107,5;73,7;97,11936857;204,32;0,5;36,67;0,753;7924
330140;Conceição de Macabu (RJ);RJ;348,5;53,7;164,886795;213,91;0,51;43,07;0,738;18782
330150;Cordeiro (RJ);RJ;116,3;159,9;130,3709987;275,43;0,53;40,22;0,789;18601
330160;Duas Barras (RJ);RJ;343,5;30;118,0021379;204,89;0,52;34;0,712;10334
330170;Duque de Caxias (RJ);RJ;465,7;1655,3;16,80624065;226,14;0,53;48,77;0,753;775456
330180;Engenheiro Paulo de Frontin (RJ);RJ;139,4;87,3;62,12174109;243,17;0,51;35,54;0,753;12164
330185;Guapimirim (RJ);RJ;361,7;104,7;46,80416766;234,77;0,56;39,89;0,739;37952
330187;Iguaba Grande (RJ);RJ;36,2;415,8;100,4857121;332,75;0,56;41,27;0,796;15089
330190;Itaboraí (RJ);RJ;428,6;436,4;39,87265097;202,29;0,52;46,88;0,737;187479
330200;Itaguaí (RJ);RJ;278,3;294,5;58,32488276;246,45;0,52;44,46;0,768;82003
