Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
240010;Acari (RN);RN;612,9;18,2;173,3097936;133,38;0,49;41,76;0,698;11189
240020;Açu (RN);RN;1297,5;36,9;189,528822;141,27;0,6;47,1;0,677;47904
240030;Afonso Bezerra (RN);RN;560,8;19,4;147,1712354;92,47;0,62;58,48;0,629;10867
240050;Alexandria (RN);RN;420,4;32,6;317,655292;79,63;0,57;60,01;0,637;13772
240060;Almino Afonso (RN);RN;132,4;39;285,3611341;84,52;0,61;60,15;0,64;5195
240070;Alto do Rodrigues (RN);RN;207,4;45,8;180,7656422;143,88;0,55;43,3;0,688;9499
240080;Angicos (RN);RN;809,5;14,3;154,5720696;115,39;0,57;50,05;0,688;11626
240090;Antônio Martins (RN);RN;251,6;26,8;301,6433153;68,33;0,6;62,86;0,636;6757
240100;Apodi (RN);RN;1556,1;21,9;286,7324698;87,77;0,55;55,28;0,654;34174
240110;Areia Branca (RN);RN;374,2;60,3;232,7801095;146,31;0,54;51,51;0,71;22530
240120;Arês (RN);RN;115,9;97,7;44,66634291;93,46;0,58;54,15;0,624;11323
240130;Augusto Severo (RN);RN;856,2;10,5;232,3821501;92,65;0,61;56,1;0,611;9024
240040;Água Nova (RN);RN;47;57;344,3431838;56,58;0,63;69,89;0,587;2678
240140;Baía Formosa (RN);RN;250,1;31,2;67,53894461;88,27;0,57;55,59;0,643;7821
240145;Baraúna (RN);RN;893;20,9;277,967471;88,78;0,53;49,55;0,6;18922
240150;Barcelona (RN);RN;152,9;26,1;81,1284079;76,34;0,57;58,56;0,613;3990
240160;Bento Fernandes (RN);RN;336,6;14,1;68,47929401;60,67;0,64;65,53;0,578;4709
240165;Bodó (RN);RN;248,4;11,2;134,7986779;71,33;0,59;59,04;0,595;2775
240170;Bom Jesus (RN);RN;130,7;65,7;46,171375;85,81;0,59;56,55;0,625;8608
240180;Brejinho (RN);RN;58,8;175,4;46,94489776;92,77;0,57;53,84;0,625;10317
240200;Caicó (RN);RN;1220,4;46,6;221,3270088;206,64;0,58;38,34;0,756;57002
240185;Caiçara do Norte (RN);RN;297,2;19,6;113,8767923;76,3;0,48;50,13;0,631;5842
240190;Caiçara do Rio do Vento (RN);RN;282,7;10,1;87,31497684;84,66;0,6;58,74;0,619;2867
240210;Campo Redondo (RN);RN;239,4;38,3;118,5887237;83,5;0,62;61,93;0,633;9201
240220;Canguaretama (RN);RN;280,3;96,2;65,60344197;71,73;0,58;59,4;0,6;27011
240230;Caraúbas (RN);RN;1099,9;17,1;259,5767566;86,87;0,53;54,4;0,614;18810
240250;Carnaubais (RN);RN;531,7;15,4;186,4541959;118,81;0,64;59,09;0,651;8192
240240;Carnaúba dos Dantas (RN);RN;246,2;26,7;174,916323;152,9;0,51;41,71;0,742;6572
240260;Ceará-Mirim (RN);RN;729,5;85,3;29,92886865;101,55;0,58;53,47;0,646;62424
240270;Cerro Corá (RN);RN;402,6;26,9;128,7272756;70,12;0,57;59,7;0,592;10839
240280;Coronel Ezequiel (RN);RN;203,8;26,5;128,9367305;64,54;0,63;65,86;0,6;5409
240290;Coronel João Pessoa (RN);RN;118,8;39,6;361,1993014;55,23;0,63;69,47;0,592;4703
240300;Cruzeta (RN);RN;289,7;28,1;187,6568449;158,76;0,61;42,57;0,713;8138
240310;Currais Novos (RN);RN;887,1;46;153,328358;170,8;0,61;46,48;0,724;40791
240320;Doutor Severiano (RN);RN;118,7;55,2;351,4871008;56,57;0,64;71,21;0,598;6552
240330;Encanto (RN);RN;125;38,4;344,0783236;69,68;0,56;60,76;0,625;4798
240340;Equador (RN);RN;313,1;18,1;209,9983128;98,88;0,52;46,71;0,665;5664
240350;Espírito Santo (RN);RN;158;67,8;60,68590151;70,88;0,61;60,81;0,581;10715
240360;Extremoz (RN);RN;135,3;144,4;14,66976752;136,5;0,55;47,82;0,694;19572
240370;Felipe Guerra (RN);RN;283,3;19,5;275,0438838;86,99;0,52;54,59;0,633;5534
240375;Fernando Pedroza (RN);RN;325,1;8,2;146,5675949;96,02;0,59;54,49;0,625;2650
240380;Florânia (RN);RN;509,5;17,6;181,6115026;100,96;0,55;52,77;0,657;8978
240390;Francisco Dantas (RN);RN;187,9;16,1;323,1580729;91,77;0,58;60,91;0,622;3021
240400;Frutuoso Gomes (RN);RN;70,2;65;293,5513961;79,53;0,59;60,34;0,639;4580
240410;Galinhos (RN);RN;333,4;5,3;141,5082868;77,55;0,56;60,7;0,612;1767
240420;Goianinha (RN);RN;180,7;97,7;52,44875641;106,16;0,64;53,94;0,651;17661
240430;Governador Dix-Sept Rosado (RN);RN;1268,9;9,3;258,3827087;80,85;0,55;56,28;0,637;11772
240440;Grossos (RN);RN;138,9;59,4;233,5553437;104,8;0,52;52,18;0,683;8249
240450;Guamaré (RN);RN;278,6;29,2;144,6752579;92,13;0,51;47,1;0,646;8149
