Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
110001;Alta Floresta d'Oeste (RO);RO;7111,8;3,7;415,523881;188,27;0,58;46,69;0,715;26533
110037;Alto Alegre do Parecis (RO);RO;3952,7;3,2;436,1361906;111,78;0,52;52,27;0,674;12708
110040;Alto Paraíso (RO);RO;2658,7;4,9;123,5144224;228,16;0,65;48,65;0,715;13118
110034;Alvorada d'Oeste (RO);RO;2982,2;6,6;337,5145428;162,11;0,65;55,48;0,694;19832
110002;Ariquemes (RO);RO;4995,3;14,9;159,097193;268,31;0,6;44,31;0,752;74503
110045;Buritis (RO);RO;3286,6;7,7;161,3335307;239,68;0,67;48,82;0,694;25668
110003;Cabixi (RO);RO;1530,7;4,9;640,5278349;172,54;0,56;48,72;0,705;7518
110060;Cacaulândia (RO);RO;2010,4;2,7;207,2352554;202,22;0,61;53,26;0,713;5372
110004;Cacoal (RO);RO;3808,4;19,3;400,7446532;230,05;0,56;41,96;0,755;73568
110070;Campo Novo de Rondônia (RO);RO;3455,9;3,3;206,5081307;212,15;0,69;66,61;0,697;11463
110080;Candeias do Jamari (RO);RO;6867,6;1,9;23,45622149;133,56;0,54;47,13;0,671;13107
110090;Castanheiras (RO);RO;901,2;4,7;363,9593299;150,06;0,6;56,48;0,702;4212
110005;Cerejeiras (RO);RO;2645;6,9;596,4056002;253,92;0,6;45,21;0,751;18207
110092;Chupinguaia (RO);RO;5150,7;1,1;533,7916277;164,97;0,57;43,51;0,707;5521
110006;Colorado do Oeste (RO);RO;1442,4;15,3;607,1674349;200,96;0,57;41,2;0,739;21892
110007;Corumbiara (RO);RO;3079,7;3,4;571,1029414;123,31;0,56;51,76;0,668;10459
110008;Costa Marques (RO);RO;5140,6;2;410,7721359;160,81;0,6;49,44;0,693;10208
110094;Cujubim (RO);RO;4034,9;1,6;159,401243;191,79;0,64;56,94;0,695;6536
110009;Espigão d'Oeste (RO);RO;4523,8;5,7;440,7284071;214,62;0,64;52,64;0,738;25688
110100;Governador Jorge Teixeira (RO);RO;5091,6;2,7;239,7362414;159,64;0,63;56,08;0,683;13641
110010;Guajará-Mirim (RO);RO;25214;1,5;274,0884645;212,12;0,6;52,48;0,743;38045
110110;Jamari (RO);RO;3938;1,7;93,47571337;182,86;0,64;51,62;0,702;6822
110011;Jaru (RO);RO;2909,6;18,1;244,0215894;198,26;0,58;49,34;0,729;53600
110012;Ji-Paraná (RO);RO;6922,5;15,4;318,6594229;269,38;0,6;40,41;0,753;106800
110013;Machadinho d'Oeste (RO);RO;8556,1;2,7;224,1882363;160,45;0,65;68,87;0,691;22739
110120;Ministro Andreazza (RO);RO;875,3;13;366,4913287;191,55;0,68;58,18;0,701;11342
110130;Mirante da Serra (RO);RO;1253,7;10,5;285,6765776;176,58;0,56;47,98;0,691;13154
110140;Monte Negro (RO);RO;1413,4;8,9;181,8179051;170,88;0,55;44,32;0,685;12627
110014;Nova Brasilândia d'Oeste (RO);RO;1159,9;14,7;373,2382882;157,66;0,56;50,26;0,689;17067
110033;Nova Mamoré (RO);RO;10113,4;1,5;240,8742906;132,46;0,7;63,79;0,659;14778
110143;Nova União (RO);RO;804,1;10,2;279,7706194;124,54;0,57;52,06;0,68;8233
110050;Novo Horizonte do Oeste (RO);RO;833,5;14,7;387,1197405;210,71;0,65;53,79;0,707;12276
110015;Ouro Preto do Oeste (RO);RO;1978,2;20,7;282,9022928;243,83;0,6;43,06;0,727;40884
110145;Parecis (RO);RO;2558,6;1,4;457,066789;117,66;0,61;56,84;0,666;3622
110018;Pimenta Bueno (RO);RO;6258;5,1;438,7546545;256,57;0,6;46,37;0,754;31752
110146;Pimenteiras do Oeste (RO);RO;6128,9;0,4;610,0631248;135,19;0,55;54,19;0,715;2527
110020;Porto Velho (RO);RO;34209,5;9,8;0;305,21;0,62;45,25;0,763;334661
110025;Presidente Médici (RO);RO;1693,4;15,6;346,4116494;177,6;0,58;50,81;0,707;26365
110147;Primavera de Rondônia (RO);RO;615,4;7;441,4182348;127,31;0,53;46,02;0,691;4311
110026;Rio Crespo (RO);RO;1729,9;1,7;152,0066025;250,53;0,72;57,52;0,712;2937
110028;Rolim de Moura (RO);RO;1487,3;31,8;397,9299954;225,39;0,58;41,52;0,753;47382
110029;Santa Luzia d'Oeste (RO);RO;1187,7;9,8;416,2087486;120,17;0,5;48,68;0,679;11603
110148;São Felipe d'Oeste (RO);RO;546,5;12,9;436,7498315;138,72;0,55;47,8;0,694;7056
110149;São Francisco do Guaporé (RO);RO;10961;1;367,4239399;239,08;0,54;37,19;0,72;11085
110032;São Miguel do Guaporé (RO);RO;7814,9;3,1;350,7195668;144,66;0,53;46,42;0,669;23874
110150;Seringueiras (RO);RO;3660,6;3,2;350,6001166;154,3;0,58;42,6;0,687;11655
110155;Teixeirópolis (RO);RO;455,8;12,3;300,3739835;147,28;0,55;47,54;0,685;5618
110160;Theobroma (RO);RO;2199;5,1;235,8883231;112,11;0,6;55,62;0,661;11140
110170;Urupá (RO);RO;849,7;17,5;313,6856712;128,29;0,59;55,31;0,671;14880
110175;Vale do Anari (RO);RO;3136,3;2,5;224,6256338;227,27;0,63;48,51;0,688;7737
110180;Vale do Paraíso (RO);RO;967,2;10,2;269,7125906;175,39;0,64;57,47;0,704;9863
110030;Vilhena (RO);RO;11411,2;4,7;603,0989865;288,68;0,57;37,48;0,771;53598
