Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
140005;Alto Alegre (RR);RR;26109,7;0,7;91,94861186;79,21;0,58;66,23;0,662;17907
140002;Amajari (RR);RR;28598,4;0,2;120,5980657;93,41;0,64;63,4;0,654;5294
140010;Boa Vista (RR);RR;5711,9;35,1;0;299,46;0,58;42,39;0,779;200568
140015;Bonfim (RR);RR;8131,5;1,1;110,8498973;91,85;0,55;52,37;0,654;9326
140017;Cantá (RR);RR;7691;1,1;24,81313177;115,78;0,61;55;0,659;8571
140020;Caracaraí (RR);RR;47623,6;0,3;122,4690125;159,41;0,61;56,36;0,702;14286
140023;Caroebe (RR);RR;12098,5;0,5;240,9418066;138,19;0,7;64,81;0,661;5692
140028;Iracema (RR);RR;14403,9;0,3;81,82301592;159,14;0,58;44,79;0,713;4781
140030;Mucajaí (RR);RR;11981,5;0,9;50,12986601;170,89;0,59;46,88;0,726;11247
140040;Normandia (RR);RR;7007,9;0,9;165,729934;66,13;0,79;81,95;0,6;6138
140045;Pacaraima (RR);RR;8063,9;0,9;186,54068;147,87;0,68;65,32;0,718;6990
140047;Rorainópolis (RR);RR;33745;0,5;210,1556536;136,32;0,7;66,52;0,676;17393
140050;São João da Baliza (RR);RR;4324,7;1,2;224,262207;149,88;0,64;59,66;0,729;5091
140060;São Luiz (RR);RR;1533,9;3,5;209,6049759;149,49;0,66;58,53;0,704;5311
140070;Uiramutã (RR);RR;8090,7;0,7;205,1394919;49,08;0,8;83,03;0,542;5802
