Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
430010;Agudo (RS);RS;533,1;32,7;198,4770671;277,63;0,53;35,67;0,786;17455
430020;Ajuricaba (RS);RS;335,3;23;317,1021165;244,31;0,48;41,28;0,781;7709
430030;Alecrim (RS);RS;320,1;26,5;433,7103056;150,55;0,51;47,17;0,743;8487
430040;Alegrete (RS);RS;7808,8;10,8;440,2679353;270,44;0,6;41,9;0,793;84338
430045;Alegria (RS);RS;175,2;30,5;368,3166715;160,89;0,56;49,95;0,745;5367
430050;Alpestre (RS);RS;324,9;31,6;355,9167527;140,08;0,58;52,34;0,714;10266
430055;Alto Alegre (RS);RS;110,6;19,3;220,5207662;251,64;0,52;37,72;0,797;2137
430057;Alto Feliz (RS);RS;85,3;33,2;71,66620024;247,82;0,4;26,88;0,808;2834
430060;Alvorada (RS);RS;72,9;2516,1;14,83869815;214,75;0,45;40,6;0,768;183968
430063;Amaral Ferrador (RS);RS;506,6;11,3;135,4849883;184,2;0,51;39,43;0,727;5740
430064;Ametista do Sul (RS);RS;75,9;97,7;352,6247452;198,62;0,58;41,59;0,754;7414
430066;André da Rocha (RS);RS;333,2;3,3;159,2536919;298,74;0,48;27,48;0,815;1113
430070;Anta Gorda (RS);RS;240,3;26,3;139,8926715;362,51;0,46;27,82;0,821;6327
430080;Antônio Prado (RS);RS;343,2;37,6;130,6666791;417,11;0,5;35,05;0,841;12918
430085;Arambaré (RS);RS;517,5;7,6;101,3127305;212,64;0,53;36,48;0,743;3917
430087;Araricá (RS);RS;37,4;107,5;55,06630259;221,5;0,46;39,33;0,784;4032
430090;Aratiba (RS);RS;341,9;20,8;311,228479;205,79;0,5;37,54;0,792;7116
430100;Arroio do Meio (RS);RS;153,7;110,3;98,45346787;367,57;0,47;19,22;0,837;16951
430105;Arroio do Sal (RS);RS;127,4;41,1;139,9691002;301,77;0,52;35,24;0,813;5273
430120;Arroio do Tigre (RS);RS;314,6;38,8;195,9475211;208,68;0,51;42,67;0,764;12216
430110;Arroio dos Ratos (RS);RS;417,4;32;48,24186472;224,17;0,52;39,24;0,773;13335
430130;Arroio Grande (RS);RS;2544,8;7,5;302,0298375;224,39;0,61;40,88;0,758;19152
430140;Arvorezinha (RS);RS;278,3;36,8;158,1261291;279,68;0,49;37,56;0,798;10262
430150;Augusto Pestana (RS);RS;388,5;21;316,2880084;237,16;0,5;33,82;0,786;8173
430005;Água Santa (RS);RS;352,8;11,7;220,5144747;258,51;0,5;32,28;0,802;4127
430155;Áurea (RS);RS;159,1;24,5;271,4269557;170,88;0,47;39,56;0,742;3889
430160;Bagé (RS);RS;5674,1;20,9;310,4581226;295,2;0,59;42,37;0,802;118767
430163;Balneário Pinhal (RS);RS;106,4;70;98,71496423;301,79;0,56;39,71;0,792;7452
