Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
420005;Abdon Batista (SC);SC;198;14;243,6190155;166,91;0,5;39,67;0,774;2775
420010;Abelardo Luz (SC);SC;1037,7;15,8;391,0529143;237,02;0,72;56,84;0,785;16440
420020;Agrolândia (SC);SC;192,3;40,6;127,5290259;213,5;0,47;37,04;0,775;7810
420030;Agronômica (SC);SC;116,7;36,5;120,3947035;267,32;0,46;31,22;0,811;4257
420070;Alfredo Wagner (SC);SC;733,4;12;78,11151406;258,12;0,55;36,55;0,778;8857
420075;Alto Bela Vista (SC);SC;104,2;20,1;328,4915342;234,33;0,47;34,48;0,795;2098
420080;Anchieta (SC);SC;229,9;31;487,6643069;151,72;0,49;43,17;0,769;7133
420090;Angelina (SC);SC;524,5;11;43,05427946;185,13;0,5;45,1;0,766;5776
420100;Anita Garibaldi (SC);SC;606,1;16,9;254,2649561;158,05;0,55;46,32;0,75;10273
420110;Anitápolis (SC);SC;576,4;5,6;66,34667308;219,28;0,52;37,22;0,773;3234
420120;Antônio Carlos (SC);SC;242,8;26,4;23,3341462;291,83;0,45;32,3;0,827;6434
420125;Apiúna (SC);SC;489,1;17,4;103,826914;243,02;0,48;34,79;0,768;8520
420127;Arabutã (SC);SC;131,1;31,7;357,8292728;312,91;0,51;31,84;0,812;4160
420130;Araquari (SC);SC;402,6;58,5;137,416168;184,7;0,49;40,21;0,767;23645
420140;Araranguá (SC);SC;298,4;183,1;174,683135;290,08;0,52;38,79;0,814;54706
420150;Armazém (SC);SC;138,6;49,6;87,06634897;258,08;0,51;37,65;0,795;6873
420160;Arroio Trinta (SC);SC;112,3;31,1;285,2784515;245,08;0,47;33,87;0,798;3490
420165;Arvoredo (SC);SC;91,3;25,2;390,0021899;179,68;0,55;47,21;0,751;2305
420170;Ascurra (SC);SC;119,1;58,2;108,4455722;290,6;0,44;33,97;0,813;6934
420180;Atalanta (SC);SC;98,1;35;123,0043207;256,99;0,52;39,2;0,81;3429
420190;Aurora (SC);SC;226,4;24,2;111,8581023;282,94;0,48;29,09;0,812;5474
420040;Água Doce (SC);SC;1321,2;5,2;304,2868512;273,26;0,58;43,88;0,809;6843
420050;Águas de Chapecó (SC);SC;139,1;41,6;441,9607066;262,02;0,59;43,06;0,781;5782
420055;Águas Frias (SC);SC;76,9;32,2;433,1824304;271,11;0,56;38,06;0,799;2525
420060;Águas Mornas (SC);SC;327,9;16,4;29,13637905;216,93;0,43;33,84;0,783;5390
420195;Balneário Arroio do Silva (SC);SC;93,7;64,3;175,7850567;267,96;0,53;42,93;0,794;6043
420205;Balneário Barra do Sul (SC);SC;110,6;54,6;126,9411792;255,95;0,52;37,6;0,807;6045
420200;Balneário Camboriú (SC);SC;46,4;1579;67,87210281;670,28;0,59;38,42;0,867;73455
420207;Balneário Gaivota (SC);SC;151;36,1;200,4711059;223,83;0,53;41,7;0,786;5450
420208;Bandeirante (SC);SC;147,3;21,6;511,3358734;160,86;0,62;48,79;0,765;3177
420209;Barra Bonita (SC);SC;62,4;33,9;494,8900783;149,95;0,48;39,22;0,743;2118
420210;Barra Velha (SC);SC;142,4;109;108,071171;273,57;0,55;41,61;0,792;15530
420213;Bela Vista do Toldo (SC);SC;527,8;10,8;240,0664225;123,59;0,51;43,51;0,702;5721
420215;Belmonte (SC);SC;93;27,8;503,7575581;172,69;0,52;43,3;0,759;2588
