Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
280010;Amparo de São Francisco (SE);SE;39,8;54,8;87,72290173;82,64;0,58;57,82;0,602;2182
280020;Aquidabã (SE);SE;370,2;49,2;70,24454025;89,58;0,55;51,09;0,605;18344
280030;Aracaju (SE);SE;181,8;2535,2;0;352,74;0,64;45,03;0,794;461534
280040;Arauá (SE);SE;194,6;50,1;71,35945663;98,09;0,55;48,61;0,621;9762
280050;Areia Branca (SE);SE;129;114,2;31,50238016;89,06;0,5;47,06;0,644;14824
280060;Barra dos Coqueiros (SE);SE;87,9;202,6;3,60753423;124,35;0,57;52,13;0,676;17807
280067;Boquim (SE);SE;213,6;112,6;65,36896097;95,19;0,58;53,73;0,634;24188
280070;Brejo Grande (SE);SE;149,2;47,6;85,13331334;59,83;0,58;62,08;0,55;7102
280100;Campo do Brito (SE);SE;200,8;74,9;50,02578713;108,92;0,56;52,75;0,661;15175
280110;Canhoba (SE);SE;165,8;23,9;86,42002873;67,06;0,55;58,43;0,597;3965
280120;Canindé de São Francisco (SE);SE;908,2;19,5;161,2840357;91,65;0,67;62,99;0,58;17754
280130;Capela (SE);SE;431,9;60,9;45,38439784;78,28;0,57;57,81;0,615;26518
280140;Carira (SE);SE;634,6;27,9;91,94532684;90,25;0,49;51,23;0,581;17770
280150;Carmópolis (SE);SE;40;232,8;30,59676814;112,16;0,57;48,02;0,676;9352
280160;Cedro de São João (SE);SE;73;73,6;76,05291246;105,69;0,53;51,58;0,684;5378
280170;Cristinápolis (SE);SE;251,3;60,1;97,38897313;86,37;0,6;53,9;0,577;14268
280190;Cumbe (SE);SE;131,4;27,7;62,96077315;76,18;0,5;52,35;0,638;3646
280200;Divina Pastora (SE);SE;93;35,1;26,02609427;81,89;0,48;48,06;0,655;3266
280210;Estância (SE);SE;649,6;90,6;56,27202264;123,68;0,6;47,93;0,672;59002
280220;Feira Nova (SE);SE;189,3;26,7;76,56229022;69,38;0,55;58,14;0,62;5068
280230;Frei Paulo (SE);SE;406,8;29,4;64,51552061;120,31;0,63;52,71;0,646;11973
280240;Gararu (SE);SE;640,4;17,7;104,7930547;67,67;0,62;64,87;0,572;11363
280250;General Maynard (SE);SE;18,1;132,7;26,47271259;93,31;0,54;50,78;0,671;2400
280260;Gracho Cardoso (SE);SE;236,2;23,4;77,24220377;80,46;0,55;54,83;0,594;5519
280270;Ilha das Flores (SE);SE;57,6;143,5;78,49025347;68,58;0,61;62,05;0,584;8281
280280;Indiaroba (SE);SE;311,4;41,4;82,85251618;67,71;0,57;56,83;0,605;13152
280290;Itabaiana (SE);SE;338,4;226,6;45,99229468;134,91;0,53;44,21;0,678;76813
280300;Itabaianinha (SE);SE;480;73,2;88,07328373;86,82;0,54;50,6;0,59;35454
280310;Itabi (SE);SE;202,9;25,4;87,29492417;84,23;0,6;57,08;0,623;5174
280320;Itaporanga d'Ajuda (SE);SE;757,3;33,5;27,8082721;85,15;0,52;50,6;0,638;25482
280330;Japaratuba (SE);SE;374;38,7;38,16151481;97,55;0,55;51,88;0,651;14556
280340;Japoatã (SE);SE;397,4;32,8;69,30876052;73,4;0,5;52,49;0,604;13020
280350;Lagarto (SE);SE;962,5;86,4;63,06916077;109,63;0,56;50,66;0,614;83334
280360;Laranjeiras (SE);SE;163,4;143,2;15,82754704;87,63;0,53;52,84;0,642;23560
280370;Macambira (SE);SE;137,4;42,2;57,98277661;87,4;0,51;51,03;0,649;5802
280380;Malhada dos Bois (SE);SE;59,3;54,1;64,50728658;80,69;0,57;55;0,63;3208
280390;Malhador (SE);SE;102,2;111,8;37,91083561;94,25;0,52;50,56;0,618;11481
280400;Maruim (SE);SE;95,2;161,8;19,25471796;94,58;0,51;48,9;0,662;15454
