Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
350010;Adamantina (SP);SP;412,9;81,1;499,9510598;354,98;0,54;33,3;0,812;33497
350020;Adolfo (SP);SP;211,4;17,4;401,9292569;238,02;0,45;35,02;0,795;3684
350030;Aguaí (SP);SP;474,6;59,3;169,1467259;308,12;0,56;29,82;0,786;28195
350070;Agudos (SP);SP;970;33,5;268,7790503;266,32;0,54;45,8;0,786;32484
350075;Alambari (SP);SP;159,6;23;128,6560127;210,69;0,52;34,21;0,748;3650
350080;Alfredo Marcondes (SP);SP;119,8;30,8;520,4969778;237,32;0,53;39,47;0,799;3697
350090;Altair (SP);SP;317;11,2;418,5437753;225,66;0,5;36,48;0,766;3530
350100;Altinópolis (SP);SP;932;16,6;290,3333811;385,17;0,63;29,78;0,823;15481
350110;Alto Alegre (SP);SP;319,1;13,4;422,8563241;219,66;0,49;34;0,774;4261
350115;Alumínio (SP);SP;83,9;181,8;63,78792685;298,52;0,45;47,14;0,787;15252
350150;Alvinlândia (SP);SP;85,2;33,3;342,5649963;189,99;0,49;29,77;0,741;2837
350160;Americana (SP);SP;133,9;1359,9;114,560278;473,23;0,5;43,66;0,84;182593
350170;Américo Brasiliense (SP);SP;123,8;228,5;252,3556867;242,09;0,48;47,06;0,788;28287
350180;Américo de Campos (SP);SP;254,6;22;481,8232332;252,69;0,51;24,34;0,774;5594
350190;Amparo (SP);SP;447,1;135,1;95,02323264;445,34;0,54;36,91;0,806;60404
350200;Analândia (SP);SP;327,5;10,9;189,8125123;293,03;0,5;29,65;0,804;3582
350210;Andradina (SP);SP;962,7;57,3;569,9139606;358,05;0,59;38,31;0,798;55161
350220;Angatuba (SP);SP;1031;18,7;181,1702874;250,71;0,55;35,94;0,762;19297
350230;Anhembi (SP);SP;738,2;6,1;174,1072466;237,16;0,53;33,47;0,768;4535
350240;Anhumas (SP);SP;321,7;10,6;505,7523114;183,38;0,5;40,95;0,752;3411
350250;Aparecida (SP);SP;121,2;287,4;163,3678861;318,86;0,55;39,75;0,804;34904
350260;Aparecida d'Oeste (SP);SP;179,6;27,4;556,5047305;229,33;0,53;30,93;0,759;4935
350270;Apiaí (SP);SP;949,2;28,6;248,1368534;171,29;0,62;55,47;0,716;27162
350275;Araçariguama (SP);SP;146,7;75,9;44,97289834;271,2;0,53;38,43;0,77;11154
350280;Araçatuba (SP);SP;1170,5;144,6;468,7514409;503,17;0,63;35,88;0,848;169254
350290;Araçoiaba da Serra (SP);SP;256,1;77,2;99,75608295;308,36;0,51;32,15;0,785;19816
350300;Aramina (SP);SP;203,3;23,4;402,1416125;258,06;0,5;30,67;0,794;4763
350310;Arandu (SP);SP;287;21,1;250,9485556;193,82;0,48;35,32;0,731;6065
