Codigo;Município;Area;Densidade;Distancia;RendaperCapita;Gini;Intensidadedapobreza;IDH;Populacaototal
120040;Rio Branco (AC);9962,4;25,4;0;264,43;0,62;45,24;0,754;253059
270430;Maceió (AL);512,8;1553,9;0;282,99;0,68;48,36;0,739;797759
270030;Arapiraca (AL);367,5;506,5;101,8724956;129,21;0,59;49,99;0,656;186466
160030;Macapá (AP);6562,4;43,1;0;253,69;0,62;47,78;0,772;283308
160060;Santana (AP);1599,7;50,1;16,80265079;162,39;0,64;50,26;0,742;80439
130260;Manaus (AM);11458,5;122,5;0;262,4;0,64;49,67;0,774;1405835
292740;Salvador (BA);709,5;3440,3;0;341,32;0,66;46,31;0,805;2443107
291080;Feira de Santana (BA);1338,1;359,2;92,54533409;206,99;0,62;47,18;0,74;480949
230440;Fortaleza (CE);313,8;6814;0;306,7;0,66;43,73;0,786;2141402
320530;Vitória (ES);89;3279,7;0;667,68;0,61;43,31;0,856;292304
320520;Vila Velha (ES);218,8;1576,5;4,946674888;443,8;0,57;42,17;0,817;345965
320130;Cariacica (ES);285,8;1133;10,50675793;215,2;0,52;43,4;0,75;324285
320500;Serra (ES);552,7;583,5;21,34327019;233,94;0,53;44,23;0,761;321181
320120;Cachoeiro de Itapemirim (ES);892,9;195,1;99,83970994;275,62;0,54;38,75;0,77;174879
520870;Goiânia (GO);743;1467,8;0;508,3;0,61;38,87;0,832;1093007
520110;Anápolis (GO);1078,2;266,8;50,58020377;293,89;0,57;38,41;0,788;288085
520140;Aparecida de Goiânia (GO);290,1;1157,6;15,91899083;201,68;0,47;37,7;0,764;336392
211130;São Luís (MA);831,7;1043,3;0;252,13;0,65;44,31;0,778;870028
500270;Campo Grande (MS);8118,4;81,6;0;394,71;0,61;38,35;0,814;663621
500370;Dourados (MS);4096,9;40,2;198,264169;308,07;0,62;39,49;0,788;164949
500320;Corumbá (MS);65165,8;1,5;352,576825;226,18;0,62;46,14;0,771;95701
500660;Ponta Porã (MS);5359,3;11,4;257,988759;248,97;0,63;47,66;0,78;60916
500830;Três Lagoas (MS);10235,8;7,7;310,6089274;290,05;0,57;37,39;0,784;79059
510340;Cuiabá (MT);3984,9;121,1;0;442,1;0,65;40,93;0,821;483346
510760;Rondonópolis (MT);4179,3;35,9;183,8441966;294,33;0,59;44,47;0,791;150227
510840;Várzea Grande (MT);904,7;237,5;6,852621708;247,12;0,54;40,8;0,79;215298
310620;Belo Horizonte (MG);331,9;6718;0;557,44;0,62;40,64;0,839;2238526
313670;Juiz de Fora (MG);1442,9;309,9;225,3225367;419,4;0,58;36,73;0,828;456796
150140;Belém (PA);1070,1;1196;0;313,93;0,65;43,23;0,806;1280614
150080;Ananindeua (PA);191,4;2053;17,74911361;187,79;0,54;44,05;0,782;393569
150680;Santarém (PA);24422,5;10,8;697,6552588;139,9;0,62;51,81;0,746;262538
250750;João Pessoa (PB);210,8;2822,2;0;334,69;0,63;41,64;0,783;597934
250400;Campina Grande (PB);644,1;549,7;112,972564;226,09;0,64;44,36;0,721;355331
410690;Curitiba (PR);430,9;3682,8;0;619,82;0,59;43,76;0,856;1587315
411370;Londrina (PR);1728,7;258,5;303,2840958;439,35;0,58;39,81;0,824;447065
261160;Recife (PE);218,7;6501,8;0;392,46;0,68;44,77;0,797;1422905
260790;Jaboatão dos Guararapes (PE);257,3;2255,7;16,13420925;235,53;0,65;46,21;0,777;581556
260960;Olinda (PE);38,1;9675,7;5,76090897;257,41;0,61;45,21;0,792;367902
221100;Teresina (PI);1679,8;425,2;0;250,69;0,65;42,61;0,766;715360
220770;Parnaíba (PI);432,5;305,7;267,9639334;164,77;0,66;47,52;0,674;132282
330455;Rio de Janeiro (RJ);1264,2;4627,9;0;596,65;0,62;46,9;0,842;5857904
330170;Duque de Caxias (RJ);465,7;1655,3;16,80624065;226,14;0,53;48,77;0,753;775456
330350;Nova Iguaçu (RJ);559,4;1636,3;29,58690144;237,5;0,53;47,82;0,762;920599
330490;São Gonçalo (RJ);251,3;3540,9;17,88699208;268,79;0,49;43,44;0,782;891119
240810;Natal (RN);169,9;4175,5;0;339,92;0,64;42,52;0,788;712317
240325;Parnamirim (RN);126,6;975,3;14,71098243;263,01;0,6;42,11;0,76;124690
240800;Mossoró (RN);2108,9;100,4;245,5948341;179,59;0,59;45,97;0,735;213841
431490;Porto Alegre (RS);496,1;2741,2;0;709,88;0,61;42,99;0,865;1360590
110020;Porto Velho (RO);34209,5;9,8;0;305,21;0,62;45,25;0,763;334661
110012;Ji-Paraná (RO);6922,5;15,4;318,6594229;269,38;0,6;40,41;0,753;106800
110002;Ariquemes (RO);4995,3;14,9;159,097193;268,31;0,6;44,31;0,752;74503
110004;Cacoal (RO);3808,4;19,3;400,7446532;230,05;0,56;41,96;0,755;73568
140010;Boa Vista (RR);5711,9;35,1;0;299,46;0,58;42,39;0,779;200568
420910;Joinville (SC);1081,7;396,6;146,6587749;407,6;0,54;43,23;0,857;429604
420240;Blumenau (SC);510,3;513,2;91,01678655;462,28;0,51;38,16;0,855;261808
420540;Florianópolis (SC);436,5;760,1;0;701,42;0,57;43,26;0,875;342315
355030;São Paulo (SP);1528,5;6808,1;0;610,04;0,62;51,19;0,841;10434252
350950;Campinas (SP);797,6;1213,5;83,5023372;614,86;0,58;50,06;0,852;969396
280030;Aracaju (SE);181,8;2535,2;0;352,74;0,64;45,03;0,794;461534
172100;Palmas (TO);2474,9;55,2;0;358,05;0,65;44,64;0,8;137355
170210;Araguaína (TO);3920,1;28,8;330,9825693;211,51;0,62;45,06;0,749;113143
530010;Brasília (DF);5822,1;350,9;0;605,41;0,64;42,23;0,844;2051146
